anio,periodo,codigodistrito,codigobarrio,nombrebarrio,datopoblacion,datopoblacionmenor16,datopoblacionentre16y64,datopoblacionmayor65,datosobreenvejecimiento,datosobreenvejecimientohombres,datosobreenvejecimientomujeres,datofeminidad,datorentamedia,datoparadosregistrados,datoparadosregistradoshombres,datoparadosregistradosmujer,datoafiliacionestrabajo,datoafiliacionestrabajohombres,datoafiliacionestrabajomujer,datoafiliacionesresidencia,datoafiliacionesresidenciahombres,datoafiliacionesresidenciamujer,datoautonomo,datoautonomoshombres,datoautonomosmujer,date,objectid_joined,coddis_joined,nomdis_joined,cod_bar_joined,nombre_joined,shape_leng_joined,cod_dis_tx_joined,barrio_may_joined,cod_disbar_joined,num_bar_joined,barrio_mt_joined,cod_disb_joined,shape_star_joined,shape_stle_joined
2022,Anual,11,111,Comillas,22214,10.87,65.5,23.63,37.2,31.6,40.6,117.1,,1067,435,632,3424,1.845,1.579,8848,4.295,4.553,1129,747,382,01/01/2022,160,11,Carabanchel,111,Comillas,4257.85571595,11,COMILLAS,111,1,COMILLAS,11-1,666096.128544,4257.85571595
2022,Anual,11,112,Opañel,33300,11.53,68.25,20.23,37.1,33.2,39.5,117.9,,1530,634,896,4652,2.652,2,13635,6.429,7.206,1485,988,497,01/01/2022,157,11,Carabanchel,112,Opañel,4492.8314969,11,OPAÑEL,112,2,OPAÑEL,11-2,1107286.0441,4492.8314969
2022,Anual,11,113,San Isidro,39391,12.83,68.29,18.88,36.8,31.8,40,112.9,,2468,1.142,1.326,5786,3.343,2.443,15692,7.559,8.133,1557,1.094,463,01/01/2022,167,11,Carabanchel,113,San Isidro,6149.55254995,11,SAN ISIDRO,113,3,SAN ISIDRO,11-3,1899332.06036,6149.55254995
2022,Anual,11,114,Vista Alegre,46474,12.14,65.63,22.22,36.8,33.2,39.1,119.1,,2243,993,1.250,7046,3.547,3.499,18108,8.255,9.853,2071,1.332,739,01/01/2022,150,11,Carabanchel,114,Vista Alegre,6437.03231387,11,VISTA ALEGRE,114,4,VISTA ALEGRE,11-4,1589225.48185,6437.03231387
2022,Anual,11,115,Puerta Bonita,35395,13.96,68.49,17.55,39.7,33.5,43.4,112.6,,2045,879,1.166,3292,1.855,1.437,13933,6.72,7.213,1148,783,365,01/01/2022,147,11,Carabanchel,115,Puerta Bonita,5985.24337749,11,PUERTA BONITA,115,5,PUERTA BONITA,11-5,1608625.38732,5985.24337749
2022,Anual,11,116,Buenavista,47815,18.57,67.86,13.57,35.3,32.9,37.1,106.5,,2128,880,1.248,13354,6.956,6.398,21170,10.546,10.624,1703,1.148,555,01/01/2022,139,11,Carabanchel,116,Buenavista,11586.85546152,11,BUENAVISTA,116,6,BUENAVISTA,11-6,5613180.40224,11586.8554615
2022,Anual,11,117,Abrantes,30925,15.14,67.33,17.53,36.1,31.1,39.2,115.3,,1585,678,907,3423,1.905,1.518,12327,5.892,6.435,1135,802,333,01/01/2022,146,11,Carabanchel,117,Abrantes,5494.74745131,11,ABRANTES,117,7,ABRANTES,11-7,1564570.60899,5494.74745131
2022,Anual,12,121,Orcasitas,22996,16,65.01,18.99,39.3,33.9,42.7,112.4,,1216,522,694,1575,937,638,9157,4.53,4.627,549,374,175,01/01/2022,137,12,Usera,121,Orcasitas,4664.66743564,12,ORCASITAS,121,1,ORCASITAS,12-1,1356362.7318,4664.66743564
2022,Anual,12,122,Orcasur,14250,15.9,69.87,14.22,32.9,26.9,37.2,106.1,,1026,445,581,3310,1.74,1.57,5394,2.725,2.669,324,228,96,01/01/2022,143,12,Usera,122,Orcasur,6014.65367292,12,ORCASUR,122,2,ORCASUR,12-2,1387349.57518,6014.65367292
2022,Anual,12,123,San Fermín,23460,15.84,69.62,14.54,32,28.8,34.1,109.7,,1444,622,822,2869,1.656,1.213,9334,4.643,4.691,711,481,230,01/01/2022,141,12,Usera,123,San Fermín,5876.02669579,12,SAN FERMIN,123,3,SAN FERMÍN,12-3,1475399.06408,5876.02669579
2022,Anual,12,124,Almendrales,22499,15.09,69.33,15.57,40,31.8,44.8,113.8,,1116,491,625,7639,2.519,5.12,9023,4.23,4.793,870,571,299,01/01/2022,148,12,Usera,124,Almendrales,3727.30843206,12,ALMENDRALES,124,4,ALMENDRALES,12-4,780140.88006,3727.30843206
2022,Anual,12,125,Moscardó,26139,12.52,68.89,18.6,38.2,32.9,41.4,112.6,,1279,552,727,5432,2.505,2.927,10460,4.96,5.5,1205,783,422,01/01/2022,156,12,Usera,125,Moscardó,4248.7102722,12,MOSCARDO,125,5,MOSCARDÓ,12-5,908787.651465,4248.71027219
2022,Anual,12,126,Zofío,14022,13.09,69.21,17.7,36.7,31,40.3,113.4,,743,322,421,1447,890,557,5631,2.696,2.935,454,329,125,01/01/2022,144,12,Usera,126,Zofío,3742.72280117,12,ZOFIO,126,6,ZOFÍO,12-6,774025.53656,3742.72280116
2022,Anual,12,127,Pradolongo,17442,13.84,69.81,16.35,39.8,33.8,43.7,112.2,,892,383,509,2673,1.376,1.297,6576,3.134,3.442,842,542,300,01/01/2022,145,12,Usera,127,Pradolongo,4785.09791705,12,PRADOLONGO,127,7,PRADOLONGO,12-7,1095651.85364,4785.09791705
2022,Anual,13,131,Entrevías,34690,14.21,67.13,18.66,38.4,31.8,42.5,109.1,,2508,1.203,1.305,3833,2.537,1.296,13226,6.556,6.67,1016,716,300,01/01/2022,151,13,Puente de Vallecas,131,Entrevías,11034.98765455,13,ENTREVIAS,131,1,ENTREVÍAS,13-1,5971941.77676,11034.9876545
2022,Anual,13,132,San Diego,42910,14.62,72.03,13.35,37.2,30.9,41.1,109,,2809,1.233,1.576,7381,3.954,3.427,17447,8.526,8.921,1759,1.171,588,01/01/2022,158,13,Puente de Vallecas,132,San Diego,4726.30980582,13,SAN DIEGO,132,2,SAN DIEGO,13-2,1069868.70039,4726.30980581
2022,Anual,13,133,Palomeras Bajas,39935,12.28,70.3,17.42,34.1,27.2,38.8,113.3,,2256,925,1.331,4347,2.235,2.112,16960,8.219,8.741,1185,788,397,01/01/2022,154,13,Puente de Vallecas,133,Palomeras Bajas,5649.53359313,13,PALOMERAS BAJAS,133,3,PALOMERAS BAJAS,13-3,1723868.31405,5649.53359312
2022,Anual,13,134,Palomeras Sureste,42540,13.28,68.24,18.48,36.5,31.3,40,110.4,,2436,1.033,1.403,8015,4.061,3.954,18117,9.018,9.099,1245,864,381,01/01/2022,153,13,Puente de Vallecas,134,Palomeras Sureste,7823.24915143,13,PALOMERAS SURESTE,134,4,PALOMERAS SURESTE,13-4,3108597.47995,7823.24915143
2022,Anual,13,135,Portazgo,28249,13.75,64.84,21.41,37.3,32.9,40.1,112.2,,1809,809,1.000,3166,1.718,1.448,10863,5.36,5.503,1007,668,339,01/01/2022,159,13,Puente de Vallecas,135,Portazgo,4834.74449881,13,PORTAZGO,135,5,PORTAZGO,13-5,1245260.69119,4834.74449881
2022,Anual,13,136,Numancia,47314,12.7,68.71,18.59,36.2,30.8,39.7,111.5,,2848,1.267,1.581,7128,3.477,3.651,19116,9.257,9.859,1623,1.107,516,01/01/2022,169,13,Puente de Vallecas,136,Numancia,5364.46022524,13,NUMANCIA,136,6,NUMANCIA,13-6,1849069.19195,5364.46022524
2022,Anual,14,141,Pavones,8719,11.15,61.99,26.86,36.8,31.3,40.2,119.7,,403,174,229,1517,486,1.031,3214,1.592,1.622,228,159,69,01/01/2022,165,14,Moratalaz,141,Pavones,4120.64910825,14,PAVONES,141,1,PAVONES,14-1,1009652.01594,4120.64910825
2022,Anual,14,142,Horcajo,6354,14.37,74.99,10.64,25,22.3,27.1,107.9,,342,123,219,667,333,334,2884,1.406,1.478,231,155,76,01/01/2022,179,14,Moratalaz,142,Horcajo,3896.49325556,14,HORCAJO,142,2,HORCAJO,14-2,745946.321934,3896.49325555
2022,Anual,14,143,Marroquina,26297,9.6,61.87,28.53,38.2,35.9,39.7,117.1,,1057,417,640,4397,1.922,2.475,10320,5.025,5.295,1100,652,448,01/01/2022,182,14,Moratalaz,143,Marroquina,6747.79567742,14,MARROQUINA,143,3,MARROQUINA,14-3,1790050.43119,6747.79567742
2022,Anual,14,144,Media Legua,17377,11.18,60.2,28.62,35.5,33.2,37,121.5,,836,354,482,2344,1.16,1.184,6354,3.048,3.306,559,363,196,01/01/2022,185,14,Moratalaz,144,Media Legua,4676.05777049,14,MEDIA LEGUA,144,4,MEDIA LEGUA,14-4,998967.71032,4676.05777049
2022,Anual,14,145,Fontarrón,17044,12.23,63.58,24.19,47.1,41.8,50,120,,854,392,462,1496,835,661,6793,3.282,3.511,558,368,190,01/01/2022,174,14,Moratalaz,145,Fontarrón,6220.55647353,14,FONTARRON,145,5,FONTARRÓN,14-5,964573.887451,6220.55647353
2022,Anual,14,146,Vinateros,16599,11.04,60.32,28.64,48.2,46.4,49.2,125.3,,648,280,368,2094,835,1.259,6459,3.028,3.431,471,315,156,01/01/2022,177,14,Moratalaz,146,Vinateros,3721.67137773,14,VINATEROS,146,6,VINATEROS,14-6,593977.281579,3721.67137773
2022,Anual,15,151,Ventas,47801,10.87,66.11,23.02,42.8,38.9,45.2,122.3,,2161,981,1.180,6383,3.451,2.932,19984,9.402,10.582,2010,1.339,671,01/01/2022,199,15,Ciudad Lineal,151,Ventas,8207.61972814,15,VENTAS,151,1,VENTAS,15-1,3198035.68537,8207.61972814
2022,Anual,15,152,Pueblo Nuevo,61935,11.79,66.38,21.83,36.4,31.9,39.2,116.7,,2676,1.158,1.518,9124,4.953,4.171,25972,12.419,13.553,2708,1.807,901,01/01/2022,203,15,Ciudad Lineal,152,Pueblo Nuevo,7746.68299859,15,PUEBLO NUEVO,152,2,PUEBLO NUEVO,15-2,2319216.42283,7746.68299859
2022,Anual,15,153,Quintana,24183,10.76,67.48,21.76,40.5,34,44,125,,1089,476,613,6077,3.1,2.977,10366,4.842,5.524,1379,871,508,01/01/2022,209,15,Ciudad Lineal,153,Quintana,4438.48928039,15,QUINTANA,153,3,QUINTANA,15-3,723117.328149,4438.48928039
2022,Anual,15,154,La Concepción,20440,11.43,64.33,24.24,40.4,33.1,44.4,124.1,,761,320,441,6394,2.829,3.565,8417,3.99,4.427,1165,729,436,01/01/2022,212,15,Ciudad Lineal,154,La Concepción,5775.72730249,15,LA CONCEPCION,154,4,LA CONCEPCIÓN,15-4,885910.75017,5775.72730249
2022,Anual,15,155,San Pascual,17546,11.9,60.41,27.69,33.6,30.1,35.8,121.7,,637,267,370,48083,23.621,24.462,6852,3.288,3.564,844,521,323,01/01/2022,215,15,Ciudad Lineal,155,San Pascual,4456.0512678,15,SAN PASCUAL,155,5,SAN PASCUAL,15-5,1052724.59742,4456.0512678
2022,Anual,15,156,San Juan Bautista,12287,14.71,62.81,22.48,34.3,31.3,36.2,114.4,,317,142,175,18360,8.67,9.69,5000,2.464,2.536,735,419,316,01/01/2022,224,15,Ciudad Lineal,156,San Juan Bautista,4012.35095423,15,SAN JUAN BAUTISTA,156,6,SAN JUAN BAUTISTA,15-6,1010844.47491,4012.35095423
2022,Anual,15,157,Colina,6338,14.58,61.61,23.81,31.5,28.8,33.3,121.2,,217,73,144,2769,1.28,1.489,2578,1.265,1.313,443,256,187,01/01/2022,230,15,Ciudad Lineal,157,Colina,3175.56791319,15,COLINA,157,7,COLINA,15-7,559698.964963,3175.56791319
2022,Anual,15,158,Atalaya,1607,15.93,61.23,22.84,28.6,30.7,27.5,130.9,,37,16,21,696,258,438,594,276,318,142,65,77,01/01/2022,235,15,Ciudad Lineal,158,Atalaya,2240.85086308,15,ATALAYA,158,8,ATALAYA,15-8,248882.748259,2240.85086308
2022,Anual,15,159,Costillares,21768,14.47,62.62,22.91,30.8,29.5,31.8,113.4,,585,217,368,13085,6.265,6.82,8372,4.056,4.316,1134,668,466,01/01/2022,249,15,Ciudad Lineal,159,Costillares,5635.57542347,15,COSTILLARES,159,9,COSTILLARES,15-9,1427246.84756,5635.57542347
2022,Anual,16,161,Palomas,6933,18.59,65.25,16.15,21.9,22.5,21.3,104.7,,176,71,105,4269,1.806,2.463,2647,1.33,1.317,394,216,178,01/01/2022,226,16,Hortaleza,161,Palomas,4623.51429313,16,PALOMAS,161,1,PALOMAS,16-1,1068837.59185,4623.51429313
2022,Anual,16,162,Piovera,14948,17.31,67.11,15.58,24.9,21.9,27.6,108.8,,319,123,196,8437,3.285,5.152,5978,2.978,3,935,508,427,01/01/2022,229,16,Hortaleza,162,Piovera,7833.91163643,16,PIOVERA,162,2,PIOVERA,16-2,3139649.51166,7833.91163643
2022,Anual,16,163,Canillas,39708,11.78,60.72,27.5,32.3,30.7,33.5,115.5,,1344,533,811,9108,4.314,4.794,15467,7.517,7.95,1705,1.064,641,01/01/2022,237,16,Hortaleza,163,Canillas,7568.37673333,16,CANILLAS,163,3,CANILLAS,16-3,2522508.91498,7568.37673333
2022,Anual,16,164,Pinar del Rey,51844,11.93,61.61,26.46,35.5,32.4,37.4,118,,2156,901,1.255,11945,5.783,6.162,20710,9.988,10.722,1998,1.294,704,01/01/2022,246,16,Hortaleza,164,Pinar del Rey,8208.58870022,16,PINAR DEL REY,164,4,PINAR DEL REY,16-4,2664766.71518,8208.58870022
2022,Anual,16,165,Apóstol Santiago,15374,11.86,66.61,21.53,36,30.2,39.7,109.4,,692,309,383,2336,1.038,1.298,6107,3.027,3.08,520,323,197,01/01/2022,247,16,Hortaleza,165,Apóstol Santiago,4724.24833028,16,APOSTOL SANTIAGO,165,5,APÓSTOL SANTIAGO,16-5,1205069.87543,4724.24833028
2022,Anual,16,166,Valdefuentes,66210,26.51,65.8,7.69,21.1,18,23.6,104.1,,1689,646,1.043,65023,31.28,33.743,28856,14.615,14.241,2333,1.442,891,01/01/2022,256,16,Hortaleza,166,Valdefuentes,19611.72010842,16,VALDEFUENTES,166,6,VALDEFUENTES,16-6,17025263.0124,19611.7201084
2022,Anual,17,171,Villaverde Alto - Casco Histórico de Villaverde,46156,15.44,68.19,16.37,37.9,33.1,41,109.7,,3043,1.280,1.763,36928,20.795,16.133,18121,8.953,9.168,2071,1.416,655,01/01/2022,136,17,Villaverde,171,Villaverde Alto - Casco Histórico de Villaverde,13726.66050312,17,VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE,171,1,VILLAVERDE ALTO - CASCO HISTÓRICO DE VILLAVERDE,17-1,9253553.84107,13726.6605031
2022,Anual,17,172,San Cristóbal,16640,18.74,70,11.26,45.5,36.6,50.8,102.4,,1230,542,688,750,452,298,5841,2.951,2.89,283,201,82,01/01/2022,132,17,Villaverde,172,San Cristóbal,4752.82744596,17,SAN CRISTOBAL,172,2,SAN CRISTÓBAL,17-2,1082492.47218,4752.82744597
2022,Anual,17,173,Butarque,20813,22.53,68.6,8.86,24.2,20.9,26.7,106.3,,963,324,639,1489,881,608,9573,4.739,4.834,514,343,171,01/01/2022,133,17,Villaverde,173,Butarque,12641.91685807,17,BUTARQUE,173,3,BUTARQUE,17-3,6375521.77631,12641.9168581
2022,Anual,17,174,Los Rosales,37319,13.9,69.05,17.05,32.5,29.8,34.3,108.3,,1990,861,1.129,5946,3.216,2.73,15603,7.595,8.008,1130,758,372,01/01/2022,135,17,Villaverde,174,Los Rosales,5470.26262759,17,LOS ROSALES,174,4,LOS ROSALES,17-4,1540746.76095,5470.26262759
2022,Anual,17,175,Ángeles,32901,12.45,63.16,24.39,42.2,39.3,44.1,114.2,,1663,729,934,5966,3.779,2.187,12427,6.161,6.266,1228,809,419,01/01/2022,134,17,Villaverde,175,Ángeles,5703.9988152,17,ANGELES,175,5,ÁNGELES,17-5,1935271.49008,5703.9988152
2022,Anual,18,181,Casco Histórico de Vallecas,39578,15.81,67.34,16.86,32.4,27.8,35.6,108.6,,2696,1.144,1.552,27884,19.794,8.09,15940,8.019,7.921,1592,1.1,492,01/01/2022,142,18,Villa de Vallecas,181,Casco Histórico de Vallecas,39357.26883554,18,CASCO HISTORICO DE VALLECAS,181,1,CASCO HISTÓRICO DE VALLECAS,18-1,43045886.111,39357.2688355
2022,Anual,18,182,Santa Eugenia,24110,11.59,64.71,23.7,23.2,20.1,25.4,109.4,,1091,447,644,3095,2.077,1.018,10103,4.943,5.16,762,478,284,01/01/2022,149,18,Villa de Vallecas,182,Santa Eugenia,6793.01964889,18,SANTA EUGENIA,182,2,SANTA EUGENIA,18-2,2080233.33866,6793.01964889
2022,Anual,18,183,Ensanche de Vallecas,51129,24.25,70.66,5.09,22.1,16.7,26.1,103.7,,2202,787,1.415,10625,6.427,4.198,25648,12.879,12.769,1252,803,449,01/01/2022,138,18,Villa de Vallecas,183,Ensanche de Vallecas,14866.71358646,18,ENSANCHE DE VALLECAS,183,3,ENSANCHE DE VALLECAS,18-3,6341118.96189,14866.7135865
2022,Anual,19,191,Casco histórico de Vicálvaro,35086,14.56,65.13,20.32,41.3,41.4,41.2,107.3,,2135,955,1.180,7197,5.116,2.081,13710,6.846,6.864,1186,853,333,01/01/2022,261,19,Vicálvaro,191,Casco histórico de Vicálvaro,31101.74739896,19,CASCO HISTORICO DE VICALVARO,191,1,CASCO HISTÓRICO DE VICÁLVARO,19-1,21494220.3233,31101.747399
2022,Anual,19,192,Valdebernardo,17431,11.16,75.72,13.12,24.5,20.9,27.3,109.5,,1026,390,636,2430,1.196,1.234,7660,3.779,3.881,473,295,178,01/01/2022,168,19,Vicálvaro,192,Valdebernardo,7086.98958115,19,VALDEBERNARDO,192,2,VALDEBERNARDO,19-2,2555072.51455,7086.98958115
2022,Anual,19,193,Valderrivas,17867,24.51,68.85,6.63,28.8,27.4,29.8,106.2,,579,190,389,1127,566,561,8678,4.361,4.317,334,235,99,01/01/2022,166,19,Vicálvaro,193,Valderrivas,4577.75683592,19,VALDERRIVAS,193,3,VALDERRIVAS,19-3,643168.463002,4577.75683592
2022,Anual,19,194,El Cañaveral,8944,23.05,74.65,2.29,16.6,12.6,20,97.7,,343,110,233,314,173,141,2627,1.382,1.245,117,79,38,01/01/2022,262,19,Vicálvaro,194,El Cañaveral,15928.20255864,19,EL CAÑAVERAL,194,4,EL CAÑAVERAL,19-4,10574251.7914,15928.2025586
2022,Anual,20,201,Simancas,28171,14.05,70.32,15.63,40,31.2,45.1,112,,1450,633,817,69488,36.029,33.459,12160,5.924,6.236,1729,1.175,554,01/01/2022,210,20,San Blas - Canillejas,201,Simancas,6683.59930249,20,SIMANCAS,201,1,SIMANCAS,20-1,2276342.63995,6683.59930249
2022,Anual,20,202,Hellín,9274,12.62,66.72,20.66,52.9,40.8,59.6,117.1,,596,246,350,365,207,158,3732,1.826,1.906,201,144,57,01/01/2022,200,20,San Blas - Canillejas,202,Hellín,3989.9027957,20,HELLIN,202,2,HELLÍN,20-2,550556.079331,3989.9027957
2022,Anual,20,203,Amposta,8710,14.31,67.83,17.86,46.5,33.7,53.2,114.4,,633,276,357,682,368,314,3369,1.639,1.73,235,157,78,01/01/2022,194,20,San Blas - Canillejas,203,Amposta,3097.46051578,20,AMPOSTA,203,3,AMPOSTA,20-3,370249.994462,3097.46051578
2022,Anual,20,204,Arcos,24960,14.43,68.64,16.94,41.5,32.6,46.6,112.9,,1344,591,753,2534,1.306,1.228,10427,5.167,5.26,653,458,195,01/01/2022,192,20,San Blas - Canillejas,204,Arcos,5074.87210758,20,ARCOS,204,4,ARCOS,20-4,1305194.03829,5074.87210758
2022,Anual,20,205,Rosas,30887,13.46,71.04,15.5,28.4,24.7,31.3,108.1,,1118,424,694,6469,3.05,3.419,14177,6.95,7.227,1181,756,425,01/01/2022,217,20,San Blas - Canillejas,205,Rosas,16073.10844396,20,ROSAS,205,5,ROSAS,20-5,9296501.19119,16073.108444
2022,Anual,20,206,Rejas,16971,18.85,69.6,11.56,36.5,28.8,41.7,105.2,,567,211,356,19272,12.201,7.071,7798,3.952,3.846,842,561,281,01/01/2022,219,20,San Blas - Canillejas,206,Rejas,13389.64872287,20,REJAS,206,6,REJAS,20-6,5015732.12195,13389.6487229
2022,Anual,20,207,Canillejas,28541,12.74,63.99,23.26,33.4,30,35.7,114.3,,1308,513,795,3847,2.039,1.808,11452,5.576,5.876,1238,825,413,01/01/2022,216,20,San Blas - Canillejas,207,Canillejas,5438.21130749,20,CANILLEJAS,207,7,CANILLEJAS,20-7,1597706.22683,5438.21130749
2022,Anual,20,208,El Salvador,11269,10.8,66.71,22.5,31.9,29.6,33.6,112.3,,419,159,260,17794,6.685,11.109,4652,2.287,2.365,531,321,210,01/01/2022,218,20,San Blas - Canillejas,208,El Salvador,6577.50637931,20,EL SALVADOR,208,8,EL SALVADOR,20-8,1880110.03959,6577.50637931
2022,Anual,21,211,Alameda de Osuna,19662,15.82,57.91,26.26,23.4,25.1,22.2,108.9,,476,174,302,9350,3.791,5.559,7384,3.646,3.738,800,473,327,01/01/2022,232,21,Barajas,211,Alameda de Osuna,6601.76635639,21,ALAMEDA DE OSUNA,211,1,ALAMEDA DE OSUNA,21-1,2031267.27563,6601.76635639
2022,Anual,21,212,Aeropuerto,1895,15.94,69.34,14.72,41.9,32.2,48.8,96,,88,36,52,7987,4.831,3.156,718,354,364,531,446,85,01/01/2022,255,21,Barajas,212,Aeropuerto,28381.70053827,21,AEROPUERTO,212,2,AEROPUERTO,21-2,29664865.4328,28381.7005383
2022,Anual,21,213,Casco Histórico de Barajas,7351,11.22,68.87,19.9,31.9,27,35.7,108.2,,285,123,162,1432,727,705,3243,1.643,1.6,356,220,136,01/01/2022,243,21,Barajas,213,Casco Histórico de Barajas,3388.64757052,21,CASCO HISTORICO DE BARAJAS,213,3,CASCO HISTÓRICO DE BARAJAS,21-3,549393.831216,3388.64757052
2022,Anual,21,214,Timón,11895,18.95,69.26,11.79,30.8,26.3,34.1,111.6,,426,168,258,3005,1.535,1.47,6253,3.076,3.177,490,281,209,01/01/2022,254,21,Barajas,214,Timón,10723.32145988,21,TIMON,214,4,TIMÓN,21-4,4798439.21996,10723.3214599
2022,Anual,21,215,Corralejos,7601,21.13,68.64,10.24,27.4,23.9,30.2,103.1,,183,84,99,20808,10.906,9.902,3422,1.698,1.724,415,264,151,01/01/2022,238,21,Barajas,215,Corralejos,9654.79943122,21,CORRALEJOS,215,5,CORRALEJOS,21-5,4672511.63393,9654.79943122