Anio;Periodo;DatoAfiliacionesTrabajo;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2017;Anual;0;194;19;El Cañaveral;Vicálvaro
2018;Anual;31;194;19;El Cañaveral;Vicálvaro
2019;Anual;133;194;19;El Cañaveral;Vicálvaro
2020;Anual;114;194;19;El Cañaveral;Vicálvaro
2021;Anual;152;194;19;El Cañaveral;Vicálvaro
2022;Anual;314;194;19;El Cañaveral;Vicálvaro
2010;Anual;3801;191;19;Casco histórico de Vicálvaro;Vicálvaro
2011;Anual;3833;191;19;Casco histórico de Vicálvaro;Vicálvaro
2012;Anual;3707;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Anual;4121;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Anual;4783;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Anual;5275;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Anual;5757;191;19;Casco histórico de Vicálvaro;Vicálvaro
2017;Anual;5801;191;19;Casco histórico de Vicálvaro;Vicálvaro
2018;Anual;4456;191;19;Casco histórico de Vicálvaro;Vicálvaro
2019;Anual;5330;191;19;Casco histórico de Vicálvaro;Vicálvaro
2020;Anual;6313;191;19;Casco histórico de Vicálvaro;Vicálvaro
2021;Anual;6544;191;19;Casco histórico de Vicálvaro;Vicálvaro
2022;Anual;7197;191;19;Casco histórico de Vicálvaro;Vicálvaro
2010;Anual;236;81;8;El Pardo;Fuencarral - El Pardo
2011;Anual;241;81;8;El Pardo;Fuencarral - El Pardo
2012;Anual;218;81;8;El Pardo;Fuencarral - El Pardo
2013;Anual;281;81;8;El Pardo;Fuencarral - El Pardo
2014;Anual;282;81;8;El Pardo;Fuencarral - El Pardo
2015;Anual;267;81;8;El Pardo;Fuencarral - El Pardo
2016;Anual;279;81;8;El Pardo;Fuencarral - El Pardo
2017;Anual;285;81;8;El Pardo;Fuencarral - El Pardo
2018;Anual;273;81;8;El Pardo;Fuencarral - El Pardo
2019;Anual;298;81;8;El Pardo;Fuencarral - El Pardo
2020;Anual;315;81;8;El Pardo;Fuencarral - El Pardo
2021;Anual;319;81;8;El Pardo;Fuencarral - El Pardo
2022;Anual;335;81;8;El Pardo;Fuencarral - El Pardo
2010;Anual;561;88;8;El Goloso;Fuencarral - El Pardo
2011;Anual;788;88;8;El Goloso;Fuencarral - El Pardo
2012;Anual;1522;88;8;El Goloso;Fuencarral - El Pardo
2013;Anual;2460;88;8;El Goloso;Fuencarral - El Pardo
2014;Anual;2674;88;8;El Goloso;Fuencarral - El Pardo
2015;Anual;2953;88;8;El Goloso;Fuencarral - El Pardo
2016;Anual;3548;88;8;El Goloso;Fuencarral - El Pardo
2017;Anual;3986;88;8;El Goloso;Fuencarral - El Pardo
2018;Anual;4146;88;8;El Goloso;Fuencarral - El Pardo
2019;Anual;4978;88;8;El Goloso;Fuencarral - El Pardo
2020;Anual;4862;88;8;El Goloso;Fuencarral - El Pardo
2021;Anual;4813;88;8;El Goloso;Fuencarral - El Pardo
2022;Anual;5854;88;8;El Goloso;Fuencarral - El Pardo
2010;Anual;29023;86;8;Valverde;Fuencarral - El Pardo
2011;Anual;30471;86;8;Valverde;Fuencarral - El Pardo
2012;Anual;30841;86;8;Valverde;Fuencarral - El Pardo
2013;Anual;31498;86;8;Valverde;Fuencarral - El Pardo
2014;Anual;32480;86;8;Valverde;Fuencarral - El Pardo
2015;Anual;34266;86;8;Valverde;Fuencarral - El Pardo
2016;Anual;37295;86;8;Valverde;Fuencarral - El Pardo
2017;Anual;38860;86;8;Valverde;Fuencarral - El Pardo
2018;Anual;39070;86;8;Valverde;Fuencarral - El Pardo
2019;Anual;45319;86;8;Valverde;Fuencarral - El Pardo
2020;Anual;48064;86;8;Valverde;Fuencarral - El Pardo
2021;Anual;46402;86;8;Valverde;Fuencarral - El Pardo
2022;Anual;63103;86;8;Valverde;Fuencarral - El Pardo
2010;Anual;5154;87;8;Mirasierra;Fuencarral - El Pardo
2011;Anual;5126;87;8;Mirasierra;Fuencarral - El Pardo
2012;Anual;4971;87;8;Mirasierra;Fuencarral - El Pardo
2013;Anual;7920;87;8;Mirasierra;Fuencarral - El Pardo
2014;Anual;8439;87;8;Mirasierra;Fuencarral - El Pardo
2015;Anual;8829;87;8;Mirasierra;Fuencarral - El Pardo
2016;Anual;9039;87;8;Mirasierra;Fuencarral - El Pardo
2017;Anual;10697;87;8;Mirasierra;Fuencarral - El Pardo
2018;Anual;10776;87;8;Mirasierra;Fuencarral - El Pardo
2019;Anual;13034;87;8;Mirasierra;Fuencarral - El Pardo
2020;Anual;12442;87;8;Mirasierra;Fuencarral - El Pardo
2021;Anual;12320;87;8;Mirasierra;Fuencarral - El Pardo
2022;Anual;17030;87;8;Mirasierra;Fuencarral - El Pardo
2010;Anual;25731;166;16;Valdefuentes;Hortaleza
2011;Anual;33360;166;16;Valdefuentes;Hortaleza
2012;Anual;37261;166;16;Valdefuentes;Hortaleza
2013;Anual;40614;166;16;Valdefuentes;Hortaleza
2014;Anual;41630;166;16;Valdefuentes;Hortaleza
2015;Anual;43581;166;16;Valdefuentes;Hortaleza
2016;Anual;44472;166;16;Valdefuentes;Hortaleza
2017;Anual;44835;166;16;Valdefuentes;Hortaleza
2018;Anual;49268;166;16;Valdefuentes;Hortaleza
2019;Anual;52733;166;16;Valdefuentes;Hortaleza
2020;Anual;57658;166;16;Valdefuentes;Hortaleza
2021;Anual;60208;166;16;Valdefuentes;Hortaleza
2022;Anual;65023;166;16;Valdefuentes;Hortaleza
2010;Anual;8110;212;21;Aeropuerto;Barajas
2011;Anual;8453;212;21;Aeropuerto;Barajas
2012;Anual;8313;212;21;Aeropuerto;Barajas
2013;Anual;4143;212;21;Aeropuerto;Barajas
2014;Anual;4879;212;21;Aeropuerto;Barajas
2015;Anual;4859;212;21;Aeropuerto;Barajas
2016;Anual;5097;212;21;Aeropuerto;Barajas
2017;Anual;5840;212;21;Aeropuerto;Barajas
2018;Anual;6500;212;21;Aeropuerto;Barajas
2019;Anual;6708;212;21;Aeropuerto;Barajas
2020;Anual;7298;212;21;Aeropuerto;Barajas
2021;Anual;7228;212;21;Aeropuerto;Barajas
2022;Anual;7987;212;21;Aeropuerto;Barajas
2010;Anual;1415;214;21;Timón;Barajas
2011;Anual;1525;214;21;Timón;Barajas
2012;Anual;1422;214;21;Timón;Barajas
2013;Anual;1485;214;21;Timón;Barajas
2014;Anual;2055;214;21;Timón;Barajas
2015;Anual;2179;214;21;Timón;Barajas
2016;Anual;2485;214;21;Timón;Barajas
2017;Anual;2751;214;21;Timón;Barajas
2018;Anual;3004;214;21;Timón;Barajas
2019;Anual;3039;214;21;Timón;Barajas
2020;Anual;3160;214;21;Timón;Barajas
2021;Anual;2717;214;21;Timón;Barajas
2022;Anual;3005;214;21;Timón;Barajas
2010;Anual;1218;82;8;Fuentelarreina;Fuencarral - El Pardo
2011;Anual;1169;82;8;Fuentelarreina;Fuencarral - El Pardo
2012;Anual;1399;82;8;Fuentelarreina;Fuencarral - El Pardo
2013;Anual;1702;82;8;Fuentelarreina;Fuencarral - El Pardo
2014;Anual;1677;82;8;Fuentelarreina;Fuencarral - El Pardo
2015;Anual;1836;82;8;Fuentelarreina;Fuencarral - El Pardo
2016;Anual;2002;82;8;Fuentelarreina;Fuencarral - El Pardo
2017;Anual;2269;82;8;Fuentelarreina;Fuencarral - El Pardo
2018;Anual;2174;82;8;Fuentelarreina;Fuencarral - El Pardo
2019;Anual;2260;82;8;Fuentelarreina;Fuencarral - El Pardo
2020;Anual;1216;82;8;Fuentelarreina;Fuencarral - El Pardo
2021;Anual;1274;82;8;Fuentelarreina;Fuencarral - El Pardo
2022;Anual;2025;82;8;Fuentelarreina;Fuencarral - El Pardo
2010;Anual;16675;85;8;La Paz;Fuencarral - El Pardo
2011;Anual;19278;85;8;La Paz;Fuencarral - El Pardo
2012;Anual;21436;85;8;La Paz;Fuencarral - El Pardo
2013;Anual;22667;85;8;La Paz;Fuencarral - El Pardo
2014;Anual;22198;85;8;La Paz;Fuencarral - El Pardo
2015;Anual;24239;85;8;La Paz;Fuencarral - El Pardo
2016;Anual;24498;85;8;La Paz;Fuencarral - El Pardo
2017;Anual;27122;85;8;La Paz;Fuencarral - El Pardo
2018;Anual;28336;85;8;La Paz;Fuencarral - El Pardo
2019;Anual;30099;85;8;La Paz;Fuencarral - El Pardo
2020;Anual;32670;85;8;La Paz;Fuencarral - El Pardo
2021;Anual;32200;85;8;La Paz;Fuencarral - El Pardo
2022;Anual;33061;85;8;La Paz;Fuencarral - El Pardo
2010;Anual;6354;83;8;Peñagrande;Fuencarral - El Pardo
2011;Anual;6856;83;8;Peñagrande;Fuencarral - El Pardo
2012;Anual;6895;83;8;Peñagrande;Fuencarral - El Pardo
2013;Anual;7973;83;8;Peñagrande;Fuencarral - El Pardo
2014;Anual;8084;83;8;Peñagrande;Fuencarral - El Pardo
2015;Anual;8229;83;8;Peñagrande;Fuencarral - El Pardo
2016;Anual;8397;83;8;Peñagrande;Fuencarral - El Pardo
2017;Anual;8716;83;8;Peñagrande;Fuencarral - El Pardo
2018;Anual;8766;83;8;Peñagrande;Fuencarral - El Pardo
2019;Anual;9288;83;8;Peñagrande;Fuencarral - El Pardo
2020;Anual;10599;83;8;Peñagrande;Fuencarral - El Pardo
2021;Anual;9874;83;8;Peñagrande;Fuencarral - El Pardo
2022;Anual;10563;83;8;Peñagrande;Fuencarral - El Pardo
2010;Anual;4743;84;8;Pilar;Fuencarral - El Pardo
2011;Anual;5060;84;8;Pilar;Fuencarral - El Pardo
2012;Anual;4778;84;8;Pilar;Fuencarral - El Pardo
2013;Anual;5637;84;8;Pilar;Fuencarral - El Pardo
2014;Anual;5957;84;8;Pilar;Fuencarral - El Pardo
2015;Anual;6277;84;8;Pilar;Fuencarral - El Pardo
2016;Anual;6449;84;8;Pilar;Fuencarral - El Pardo
2017;Anual;6630;84;8;Pilar;Fuencarral - El Pardo
2018;Anual;6317;84;8;Pilar;Fuencarral - El Pardo
2019;Anual;6992;84;8;Pilar;Fuencarral - El Pardo
2020;Anual;7191;84;8;Pilar;Fuencarral - El Pardo
2021;Anual;6417;84;8;Pilar;Fuencarral - El Pardo
2022;Anual;6986;84;8;Pilar;Fuencarral - El Pardo
2010;Anual;6381;159;15;Costillares;Ciudad Lineal
2011;Anual;11564;159;15;Costillares;Ciudad Lineal
2012;Anual;11215;159;15;Costillares;Ciudad Lineal
2013;Anual;12392;159;15;Costillares;Ciudad Lineal
2014;Anual;11741;159;15;Costillares;Ciudad Lineal
2015;Anual;12278;159;15;Costillares;Ciudad Lineal
2016;Anual;12736;159;15;Costillares;Ciudad Lineal
2017;Anual;12929;159;15;Costillares;Ciudad Lineal
2018;Anual;13466;159;15;Costillares;Ciudad Lineal
2019;Anual;14033;159;15;Costillares;Ciudad Lineal
2020;Anual;14168;159;15;Costillares;Ciudad Lineal
2021;Anual;14234;159;15;Costillares;Ciudad Lineal
2022;Anual;13085;159;15;Costillares;Ciudad Lineal
2010;Anual;44737;56;5;Castilla;Chamartín
2011;Anual;45360;56;5;Castilla;Chamartín
2012;Anual;45119;56;5;Castilla;Chamartín
2013;Anual;40283;56;5;Castilla;Chamartín
2014;Anual;39872;56;5;Castilla;Chamartín
2015;Anual;36810;56;5;Castilla;Chamartín
2016;Anual;44692;56;5;Castilla;Chamartín
2017;Anual;47225;56;5;Castilla;Chamartín
2018;Anual;49570;56;5;Castilla;Chamartín
2019;Anual;50766;56;5;Castilla;Chamartín
2020;Anual;46345;56;5;Castilla;Chamartín
2021;Anual;45417;56;5;Castilla;Chamartín
2022;Anual;46191;56;5;Castilla;Chamartín
2010;Anual;2508;165;16;Apóstol Santiago;Hortaleza
2011;Anual;2597;165;16;Apóstol Santiago;Hortaleza
2012;Anual;2439;165;16;Apóstol Santiago;Hortaleza
2013;Anual;2743;165;16;Apóstol Santiago;Hortaleza
2014;Anual;2784;165;16;Apóstol Santiago;Hortaleza
2015;Anual;2811;165;16;Apóstol Santiago;Hortaleza
2016;Anual;2865;165;16;Apóstol Santiago;Hortaleza
2017;Anual;1665;165;16;Apóstol Santiago;Hortaleza
2018;Anual;1642;165;16;Apóstol Santiago;Hortaleza
2019;Anual;1760;165;16;Apóstol Santiago;Hortaleza
2020;Anual;1763;165;16;Apóstol Santiago;Hortaleza
2021;Anual;1654;165;16;Apóstol Santiago;Hortaleza
2022;Anual;2336;165;16;Apóstol Santiago;Hortaleza
2010;Anual;12250;164;16;Pinar del Rey;Hortaleza
2011;Anual;12201;164;16;Pinar del Rey;Hortaleza
2012;Anual;10878;164;16;Pinar del Rey;Hortaleza
2013;Anual;11198;164;16;Pinar del Rey;Hortaleza
2014;Anual;8650;164;16;Pinar del Rey;Hortaleza
2015;Anual;8882;164;16;Pinar del Rey;Hortaleza
2016;Anual;9363;164;16;Pinar del Rey;Hortaleza
2017;Anual;9720;164;16;Pinar del Rey;Hortaleza
2018;Anual;10972;164;16;Pinar del Rey;Hortaleza
2019;Anual;11997;164;16;Pinar del Rey;Hortaleza
2020;Anual;11416;164;16;Pinar del Rey;Hortaleza
2021;Anual;11330;164;16;Pinar del Rey;Hortaleza
2022;Anual;11945;164;16;Pinar del Rey;Hortaleza
2010;Anual;7334;96;9;El Plantío;Moncloa - Aravaca
2011;Anual;8586;96;9;El Plantío;Moncloa - Aravaca
2012;Anual;9185;96;9;El Plantío;Moncloa - Aravaca
2013;Anual;9665;96;9;El Plantío;Moncloa - Aravaca
2014;Anual;9056;96;9;El Plantío;Moncloa - Aravaca
2015;Anual;9583;96;9;El Plantío;Moncloa - Aravaca
2016;Anual;8561;96;9;El Plantío;Moncloa - Aravaca
2017;Anual;8910;96;9;El Plantío;Moncloa - Aravaca
2018;Anual;9159;96;9;El Plantío;Moncloa - Aravaca
2019;Anual;10111;96;9;El Plantío;Moncloa - Aravaca
2020;Anual;9915;96;9;El Plantío;Moncloa - Aravaca
2021;Anual;9509;96;9;El Plantío;Moncloa - Aravaca
2022;Anual;10095;96;9;El Plantío;Moncloa - Aravaca
2010;Anual;24990;93;9;Ciudad Universitaria;Moncloa - Aravaca
2011;Anual;22515;93;9;Ciudad Universitaria;Moncloa - Aravaca
2012;Anual;23563;93;9;Ciudad Universitaria;Moncloa - Aravaca
2013;Anual;23474;93;9;Ciudad Universitaria;Moncloa - Aravaca
2014;Anual;41822;93;9;Ciudad Universitaria;Moncloa - Aravaca
2015;Anual;42390;93;9;Ciudad Universitaria;Moncloa - Aravaca
2016;Anual;44429;93;9;Ciudad Universitaria;Moncloa - Aravaca
2017;Anual;45927;93;9;Ciudad Universitaria;Moncloa - Aravaca
2018;Anual;46583;93;9;Ciudad Universitaria;Moncloa - Aravaca
2019;Anual;46766;93;9;Ciudad Universitaria;Moncloa - Aravaca
2020;Anual;47582;93;9;Ciudad Universitaria;Moncloa - Aravaca
2021;Anual;49678;93;9;Ciudad Universitaria;Moncloa - Aravaca
2022;Anual;50752;93;9;Ciudad Universitaria;Moncloa - Aravaca
2010;Anual;1176;213;21;Casco Histórico de Barajas;Barajas
2011;Anual;1240;213;21;Casco Histórico de Barajas;Barajas
2012;Anual;1159;213;21;Casco Histórico de Barajas;Barajas
2013;Anual;1193;213;21;Casco Histórico de Barajas;Barajas
2014;Anual;1231;213;21;Casco Histórico de Barajas;Barajas
2015;Anual;1342;213;21;Casco Histórico de Barajas;Barajas
2016;Anual;1440;213;21;Casco Histórico de Barajas;Barajas
2017;Anual;1437;213;21;Casco Histórico de Barajas;Barajas
2018;Anual;1437;213;21;Casco Histórico de Barajas;Barajas
2019;Anual;1593;213;21;Casco Histórico de Barajas;Barajas
2020;Anual;1595;213;21;Casco Histórico de Barajas;Barajas
2021;Anual;1423;213;21;Casco Histórico de Barajas;Barajas
2022;Anual;1432;213;21;Casco Histórico de Barajas;Barajas
2010;Anual;6955;95;9;Valdemarín;Moncloa - Aravaca
2011;Anual;4833;95;9;Valdemarín;Moncloa - Aravaca
2012;Anual;4915;95;9;Valdemarín;Moncloa - Aravaca
2013;Anual;5629;95;9;Valdemarín;Moncloa - Aravaca
2014;Anual;6224;95;9;Valdemarín;Moncloa - Aravaca
2015;Anual;7051;95;9;Valdemarín;Moncloa - Aravaca
2016;Anual;7623;95;9;Valdemarín;Moncloa - Aravaca
2017;Anual;7905;95;9;Valdemarín;Moncloa - Aravaca
2018;Anual;7865;95;9;Valdemarín;Moncloa - Aravaca
2019;Anual;8319;95;9;Valdemarín;Moncloa - Aravaca
2020;Anual;14334;95;9;Valdemarín;Moncloa - Aravaca
2021;Anual;12811;95;9;Valdemarín;Moncloa - Aravaca
2022;Anual;13553;95;9;Valdemarín;Moncloa - Aravaca
2010;Anual;6966;64;6;Almenara;Tetuán
2011;Anual;6881;64;6;Almenara;Tetuán
2012;Anual;15312;64;6;Almenara;Tetuán
2013;Anual;14958;64;6;Almenara;Tetuán
2014;Anual;13663;64;6;Almenara;Tetuán
2015;Anual;13749;64;6;Almenara;Tetuán
2016;Anual;13902;64;6;Almenara;Tetuán
2017;Anual;13473;64;6;Almenara;Tetuán
2018;Anual;14039;64;6;Almenara;Tetuán
2019;Anual;15273;64;6;Almenara;Tetuán
2020;Anual;16343;64;6;Almenara;Tetuán
2021;Anual;14571;64;6;Almenara;Tetuán
2022;Anual;8772;64;6;Almenara;Tetuán
2010;Anual;4110;65;6;Valdeacederas;Tetuán
2011;Anual;3960;65;6;Valdeacederas;Tetuán
2012;Anual;3598;65;6;Valdeacederas;Tetuán
2013;Anual;3596;65;6;Valdeacederas;Tetuán
2014;Anual;3653;65;6;Valdeacederas;Tetuán
2015;Anual;3284;65;6;Valdeacederas;Tetuán
2016;Anual;3267;65;6;Valdeacederas;Tetuán
2017;Anual;3164;65;6;Valdeacederas;Tetuán
2018;Anual;3064;65;6;Valdeacederas;Tetuán
2019;Anual;3456;65;6;Valdeacederas;Tetuán
2020;Anual;3348;65;6;Valdeacederas;Tetuán
2021;Anual;3079;65;6;Valdeacederas;Tetuán
2022;Anual;3240;65;6;Valdeacederas;Tetuán
2010;Anual;2259;94;9;Valdezarza;Moncloa - Aravaca
2011;Anual;3067;94;9;Valdezarza;Moncloa - Aravaca
2012;Anual;2836;94;9;Valdezarza;Moncloa - Aravaca
2013;Anual;3329;94;9;Valdezarza;Moncloa - Aravaca
2014;Anual;3413;94;9;Valdezarza;Moncloa - Aravaca
2015;Anual;3432;94;9;Valdezarza;Moncloa - Aravaca
2016;Anual;3633;94;9;Valdezarza;Moncloa - Aravaca
2017;Anual;3674;94;9;Valdezarza;Moncloa - Aravaca
2018;Anual;3577;94;9;Valdezarza;Moncloa - Aravaca
2019;Anual;3909;94;9;Valdezarza;Moncloa - Aravaca
2020;Anual;3669;94;9;Valdezarza;Moncloa - Aravaca
2021;Anual;3458;94;9;Valdezarza;Moncloa - Aravaca
2022;Anual;3463;94;9;Valdezarza;Moncloa - Aravaca
2010;Anual;23848;215;21;Corralejos;Barajas
2011;Anual;25312;215;21;Corralejos;Barajas
2012;Anual;26237;215;21;Corralejos;Barajas
2013;Anual;27891;215;21;Corralejos;Barajas
2014;Anual;26395;215;21;Corralejos;Barajas
2015;Anual;24041;215;21;Corralejos;Barajas
2016;Anual;23365;215;21;Corralejos;Barajas
2017;Anual;24258;215;21;Corralejos;Barajas
2018;Anual;26562;215;21;Corralejos;Barajas
2019;Anual;28452;215;21;Corralejos;Barajas
2020;Anual;29139;215;21;Corralejos;Barajas
2021;Anual;30816;215;21;Corralejos;Barajas
2022;Anual;20808;215;21;Corralejos;Barajas
2010;Anual;8349;163;16;Canillas;Hortaleza
2011;Anual;8836;163;16;Canillas;Hortaleza
2012;Anual;9224;163;16;Canillas;Hortaleza
2013;Anual;9425;163;16;Canillas;Hortaleza
2014;Anual;9462;163;16;Canillas;Hortaleza
2015;Anual;8877;163;16;Canillas;Hortaleza
2016;Anual;9360;163;16;Canillas;Hortaleza
2017;Anual;10182;163;16;Canillas;Hortaleza
2018;Anual;9171;163;16;Canillas;Hortaleza
2019;Anual;9698;163;16;Canillas;Hortaleza
2020;Anual;9818;163;16;Canillas;Hortaleza
2021;Anual;9241;163;16;Canillas;Hortaleza
2022;Anual;9108;163;16;Canillas;Hortaleza
2010;Anual;21426;55;5;Nueva España;Chamartín
2011;Anual;21100;55;5;Nueva España;Chamartín
2012;Anual;19202;55;5;Nueva España;Chamartín
2013;Anual;20675;55;5;Nueva España;Chamartín
2014;Anual;20900;55;5;Nueva España;Chamartín
2015;Anual;21147;55;5;Nueva España;Chamartín
2016;Anual;20343;55;5;Nueva España;Chamartín
2017;Anual;21885;55;5;Nueva España;Chamartín
2018;Anual;22066;55;5;Nueva España;Chamartín
2019;Anual;23073;55;5;Nueva España;Chamartín
2020;Anual;26687;55;5;Nueva España;Chamartín
2021;Anual;22722;55;5;Nueva España;Chamartín
2022;Anual;23548;55;5;Nueva España;Chamartín
2010;Anual;615;158;15;Atalaya;Ciudad Lineal
2011;Anual;655;158;15;Atalaya;Ciudad Lineal
2012;Anual;516;158;15;Atalaya;Ciudad Lineal
2013;Anual;697;158;15;Atalaya;Ciudad Lineal
2014;Anual;713;158;15;Atalaya;Ciudad Lineal
2015;Anual;670;158;15;Atalaya;Ciudad Lineal
2016;Anual;701;158;15;Atalaya;Ciudad Lineal
2017;Anual;718;158;15;Atalaya;Ciudad Lineal
2018;Anual;622;158;15;Atalaya;Ciudad Lineal
2019;Anual;695;158;15;Atalaya;Ciudad Lineal
2020;Anual;686;158;15;Atalaya;Ciudad Lineal
2021;Anual;653;158;15;Atalaya;Ciudad Lineal
2022;Anual;696;158;15;Atalaya;Ciudad Lineal
2010;Anual;7054;97;9;Aravaca;Moncloa - Aravaca
2011;Anual;6998;97;9;Aravaca;Moncloa - Aravaca
2012;Anual;7328;97;9;Aravaca;Moncloa - Aravaca
2013;Anual;9361;97;9;Aravaca;Moncloa - Aravaca
2014;Anual;10380;97;9;Aravaca;Moncloa - Aravaca
2015;Anual;11285;97;9;Aravaca;Moncloa - Aravaca
2016;Anual;11206;97;9;Aravaca;Moncloa - Aravaca
2017;Anual;11048;97;9;Aravaca;Moncloa - Aravaca
2018;Anual;10458;97;9;Aravaca;Moncloa - Aravaca
2019;Anual;11166;97;9;Aravaca;Moncloa - Aravaca
2020;Anual;11007;97;9;Aravaca;Moncloa - Aravaca
2021;Anual;11156;97;9;Aravaca;Moncloa - Aravaca
2022;Anual;11617;97;9;Aravaca;Moncloa - Aravaca
2010;Anual;27681;63;6;Castillejos;Tetuán
2011;Anual;25291;63;6;Castillejos;Tetuán
2012;Anual;25877;63;6;Castillejos;Tetuán
2013;Anual;26050;63;6;Castillejos;Tetuán
2014;Anual;25243;63;6;Castillejos;Tetuán
2015;Anual;27524;63;6;Castillejos;Tetuán
2016;Anual;26372;63;6;Castillejos;Tetuán
2017;Anual;26606;63;6;Castillejos;Tetuán
2018;Anual;27543;63;6;Castillejos;Tetuán
2019;Anual;28835;63;6;Castillejos;Tetuán
2020;Anual;33762;63;6;Castillejos;Tetuán
2021;Anual;32170;63;6;Castillejos;Tetuán
2022;Anual;35388;63;6;Castillejos;Tetuán
2010;Anual;4921;211;21;Alameda de Osuna;Barajas
2011;Anual;5133;211;21;Alameda de Osuna;Barajas
2012;Anual;5287;211;21;Alameda de Osuna;Barajas
2013;Anual;5400;211;21;Alameda de Osuna;Barajas
2014;Anual;5472;211;21;Alameda de Osuna;Barajas
2015;Anual;7972;211;21;Alameda de Osuna;Barajas
2016;Anual;15114;211;21;Alameda de Osuna;Barajas
2017;Anual;14570;211;21;Alameda de Osuna;Barajas
2018;Anual;11511;211;21;Alameda de Osuna;Barajas
