Anio;Periodo;DatoAutonomo;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2017;Anual;0;194;19;El Cañaveral;Vicálvaro
2018;Anual;9;194;19;El Cañaveral;Vicálvaro
2019;Anual;20;194;19;El Cañaveral;Vicálvaro
2020;Anual;42;194;19;El Cañaveral;Vicálvaro
2021;Anual;60;194;19;El Cañaveral;Vicálvaro
2022;Anual;117;194;19;El Cañaveral;Vicálvaro
2010;Anual;1070;191;19;Casco histórico de Vicálvaro;Vicálvaro
2011;Anual;1008;191;19;Casco histórico de Vicálvaro;Vicálvaro
2012;Anual;899;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Anual;983;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Anual;1082;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Anual;1130;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Anual;1194;191;19;Casco histórico de Vicálvaro;Vicálvaro
2017;Anual;1266;191;19;Casco histórico de Vicálvaro;Vicálvaro
2018;Anual;1002;191;19;Casco histórico de Vicálvaro;Vicálvaro
2019;Anual;1184;191;19;Casco histórico de Vicálvaro;Vicálvaro
2020;Anual;1251;191;19;Casco histórico de Vicálvaro;Vicálvaro
2021;Anual;1209;191;19;Casco histórico de Vicálvaro;Vicálvaro
2022;Anual;1186;191;19;Casco histórico de Vicálvaro;Vicálvaro
2010;Anual;91;81;8;El Pardo;Fuencarral - El Pardo
2011;Anual;84;81;8;El Pardo;Fuencarral - El Pardo
2012;Anual;73;81;8;El Pardo;Fuencarral - El Pardo
2013;Anual;68;81;8;El Pardo;Fuencarral - El Pardo
2014;Anual;73;81;8;El Pardo;Fuencarral - El Pardo
2015;Anual;77;81;8;El Pardo;Fuencarral - El Pardo
2016;Anual;76;81;8;El Pardo;Fuencarral - El Pardo
2017;Anual;89;81;8;El Pardo;Fuencarral - El Pardo
2018;Anual;75;81;8;El Pardo;Fuencarral - El Pardo
2019;Anual;101;81;8;El Pardo;Fuencarral - El Pardo
2020;Anual;99;81;8;El Pardo;Fuencarral - El Pardo
2021;Anual;102;81;8;El Pardo;Fuencarral - El Pardo
2022;Anual;96;81;8;El Pardo;Fuencarral - El Pardo
2010;Anual;153;88;8;El Goloso;Fuencarral - El Pardo
2011;Anual;185;88;8;El Goloso;Fuencarral - El Pardo
2012;Anual;186;88;8;El Goloso;Fuencarral - El Pardo
2013;Anual;226;88;8;El Goloso;Fuencarral - El Pardo
2014;Anual;306;88;8;El Goloso;Fuencarral - El Pardo
2015;Anual;394;88;8;El Goloso;Fuencarral - El Pardo
2016;Anual;466;88;8;El Goloso;Fuencarral - El Pardo
2017;Anual;517;88;8;El Goloso;Fuencarral - El Pardo
2018;Anual;335;88;8;El Goloso;Fuencarral - El Pardo
2019;Anual;652;88;8;El Goloso;Fuencarral - El Pardo
2020;Anual;682;88;8;El Goloso;Fuencarral - El Pardo
2021;Anual;656;88;8;El Goloso;Fuencarral - El Pardo
2022;Anual;671;88;8;El Goloso;Fuencarral - El Pardo
2010;Anual;1437;86;8;Valverde;Fuencarral - El Pardo
2011;Anual;1462;86;8;Valverde;Fuencarral - El Pardo
2012;Anual;1298;86;8;Valverde;Fuencarral - El Pardo
2013;Anual;1402;86;8;Valverde;Fuencarral - El Pardo
2014;Anual;1642;86;8;Valverde;Fuencarral - El Pardo
2015;Anual;1771;86;8;Valverde;Fuencarral - El Pardo
2016;Anual;1812;86;8;Valverde;Fuencarral - El Pardo
2017;Anual;2005;86;8;Valverde;Fuencarral - El Pardo
2018;Anual;1655;86;8;Valverde;Fuencarral - El Pardo
2019;Anual;2370;86;8;Valverde;Fuencarral - El Pardo
2020;Anual;2479;86;8;Valverde;Fuencarral - El Pardo
2021;Anual;2426;86;8;Valverde;Fuencarral - El Pardo
2022;Anual;2413;86;8;Valverde;Fuencarral - El Pardo
2010;Anual;790;87;8;Mirasierra;Fuencarral - El Pardo
2011;Anual;813;87;8;Mirasierra;Fuencarral - El Pardo
2012;Anual;702;87;8;Mirasierra;Fuencarral - El Pardo
2013;Anual;769;87;8;Mirasierra;Fuencarral - El Pardo
2014;Anual;897;87;8;Mirasierra;Fuencarral - El Pardo
2015;Anual;990;87;8;Mirasierra;Fuencarral - El Pardo
2016;Anual;1031;87;8;Mirasierra;Fuencarral - El Pardo
2017;Anual;1089;87;8;Mirasierra;Fuencarral - El Pardo
2018;Anual;967;87;8;Mirasierra;Fuencarral - El Pardo
2019;Anual;1244;87;8;Mirasierra;Fuencarral - El Pardo
2020;Anual;1320;87;8;Mirasierra;Fuencarral - El Pardo
2021;Anual;1292;87;8;Mirasierra;Fuencarral - El Pardo
2022;Anual;1307;87;8;Mirasierra;Fuencarral - El Pardo
2010;Anual;842;166;16;Valdefuentes;Hortaleza
2011;Anual;906;166;16;Valdefuentes;Hortaleza
2012;Anual;841;166;16;Valdefuentes;Hortaleza
2013;Anual;912;166;16;Valdefuentes;Hortaleza
2014;Anual;1124;166;16;Valdefuentes;Hortaleza
2015;Anual;1284;166;16;Valdefuentes;Hortaleza
2016;Anual;1406;166;16;Valdefuentes;Hortaleza
2017;Anual;1599;166;16;Valdefuentes;Hortaleza
2018;Anual;1314;166;16;Valdefuentes;Hortaleza
2019;Anual;2100;166;16;Valdefuentes;Hortaleza
2020;Anual;2325;166;16;Valdefuentes;Hortaleza
2021;Anual;2309;166;16;Valdefuentes;Hortaleza
2022;Anual;2333;166;16;Valdefuentes;Hortaleza
2010;Anual;67;212;21;Aeropuerto;Barajas
2011;Anual;57;212;21;Aeropuerto;Barajas
2012;Anual;51;212;21;Aeropuerto;Barajas
2013;Anual;54;212;21;Aeropuerto;Barajas
2014;Anual;61;212;21;Aeropuerto;Barajas
2015;Anual;67;212;21;Aeropuerto;Barajas
2016;Anual;73;212;21;Aeropuerto;Barajas
2017;Anual;76;212;21;Aeropuerto;Barajas
2018;Anual;82;212;21;Aeropuerto;Barajas
2019;Anual;99;212;21;Aeropuerto;Barajas
2020;Anual;210;212;21;Aeropuerto;Barajas
2021;Anual;345;212;21;Aeropuerto;Barajas
2022;Anual;531;212;21;Aeropuerto;Barajas
2010;Anual;336;214;21;Timón;Barajas
2011;Anual;342;214;21;Timón;Barajas
2012;Anual;312;214;21;Timón;Barajas
2013;Anual;327;214;21;Timón;Barajas
2014;Anual;362;214;21;Timón;Barajas
2015;Anual;378;214;21;Timón;Barajas
2016;Anual;379;214;21;Timón;Barajas
2017;Anual;411;214;21;Timón;Barajas
2018;Anual;353;214;21;Timón;Barajas
2019;Anual;467;214;21;Timón;Barajas
2020;Anual;523;214;21;Timón;Barajas
2021;Anual;495;214;21;Timón;Barajas
2022;Anual;490;214;21;Timón;Barajas
2010;Anual;100;82;8;Fuentelarreina;Fuencarral - El Pardo
2011;Anual;103;82;8;Fuentelarreina;Fuencarral - El Pardo
2012;Anual;97;82;8;Fuentelarreina;Fuencarral - El Pardo
2013;Anual;102;82;8;Fuentelarreina;Fuencarral - El Pardo
2014;Anual;120;82;8;Fuentelarreina;Fuencarral - El Pardo
2015;Anual;131;82;8;Fuentelarreina;Fuencarral - El Pardo
2016;Anual;123;82;8;Fuentelarreina;Fuencarral - El Pardo
2017;Anual;137;82;8;Fuentelarreina;Fuencarral - El Pardo
2018;Anual;94;82;8;Fuentelarreina;Fuencarral - El Pardo
2019;Anual;174;82;8;Fuentelarreina;Fuencarral - El Pardo
2020;Anual;178;82;8;Fuentelarreina;Fuencarral - El Pardo
2021;Anual;183;82;8;Fuentelarreina;Fuencarral - El Pardo
2022;Anual;182;82;8;Fuentelarreina;Fuencarral - El Pardo
2010;Anual;1020;85;8;La Paz;Fuencarral - El Pardo
2011;Anual;1054;85;8;La Paz;Fuencarral - El Pardo
2012;Anual;900;85;8;La Paz;Fuencarral - El Pardo
2013;Anual;953;85;8;La Paz;Fuencarral - El Pardo
2014;Anual;1036;85;8;La Paz;Fuencarral - El Pardo
2015;Anual;1089;85;8;La Paz;Fuencarral - El Pardo
2016;Anual;1100;85;8;La Paz;Fuencarral - El Pardo
2017;Anual;1147;85;8;La Paz;Fuencarral - El Pardo
2018;Anual;1057;85;8;La Paz;Fuencarral - El Pardo
2019;Anual;1257;85;8;La Paz;Fuencarral - El Pardo
2020;Anual;1268;85;8;La Paz;Fuencarral - El Pardo
2021;Anual;1194;85;8;La Paz;Fuencarral - El Pardo
2022;Anual;1190;85;8;La Paz;Fuencarral - El Pardo
2010;Anual;1292;83;8;Peñagrande;Fuencarral - El Pardo
2011;Anual;1281;83;8;Peñagrande;Fuencarral - El Pardo
2012;Anual;1129;83;8;Peñagrande;Fuencarral - El Pardo
2013;Anual;1160;83;8;Peñagrande;Fuencarral - El Pardo
2014;Anual;1267;83;8;Peñagrande;Fuencarral - El Pardo
2015;Anual;1358;83;8;Peñagrande;Fuencarral - El Pardo
2016;Anual;1442;83;8;Peñagrande;Fuencarral - El Pardo
2017;Anual;1533;83;8;Peñagrande;Fuencarral - El Pardo
2018;Anual;1383;83;8;Peñagrande;Fuencarral - El Pardo
2019;Anual;1753;83;8;Peñagrande;Fuencarral - El Pardo
2020;Anual;1795;83;8;Peñagrande;Fuencarral - El Pardo
2021;Anual;1700;83;8;Peñagrande;Fuencarral - El Pardo
2022;Anual;1667;83;8;Peñagrande;Fuencarral - El Pardo
2010;Anual;1476;84;8;Pilar;Fuencarral - El Pardo
2011;Anual;1490;84;8;Pilar;Fuencarral - El Pardo
2012;Anual;1295;84;8;Pilar;Fuencarral - El Pardo
2013;Anual;1342;84;8;Pilar;Fuencarral - El Pardo
2014;Anual;1449;84;8;Pilar;Fuencarral - El Pardo
2015;Anual;1543;84;8;Pilar;Fuencarral - El Pardo
2016;Anual;1563;84;8;Pilar;Fuencarral - El Pardo
2017;Anual;1644;84;8;Pilar;Fuencarral - El Pardo
2018;Anual;1158;84;8;Pilar;Fuencarral - El Pardo
2019;Anual;1749;84;8;Pilar;Fuencarral - El Pardo
2020;Anual;1766;84;8;Pilar;Fuencarral - El Pardo
2021;Anual;1712;84;8;Pilar;Fuencarral - El Pardo
2022;Anual;1650;84;8;Pilar;Fuencarral - El Pardo
2010;Anual;909;159;15;Costillares;Ciudad Lineal
2011;Anual;905;159;15;Costillares;Ciudad Lineal
2012;Anual;787;159;15;Costillares;Ciudad Lineal
2013;Anual;806;159;15;Costillares;Ciudad Lineal
2014;Anual;886;159;15;Costillares;Ciudad Lineal
2015;Anual;938;159;15;Costillares;Ciudad Lineal
2016;Anual;976;159;15;Costillares;Ciudad Lineal
2017;Anual;1056;159;15;Costillares;Ciudad Lineal
2018;Anual;521;159;15;Costillares;Ciudad Lineal
2019;Anual;1160;159;15;Costillares;Ciudad Lineal
2020;Anual;1213;159;15;Costillares;Ciudad Lineal
2021;Anual;1165;159;15;Costillares;Ciudad Lineal
2022;Anual;1134;159;15;Costillares;Ciudad Lineal
2010;Anual;858;56;5;Castilla;Chamartín
2011;Anual;855;56;5;Castilla;Chamartín
2012;Anual;758;56;5;Castilla;Chamartín
2013;Anual;767;56;5;Castilla;Chamartín
2014;Anual;852;56;5;Castilla;Chamartín
2015;Anual;902;56;5;Castilla;Chamartín
2016;Anual;897;56;5;Castilla;Chamartín
2017;Anual;989;56;5;Castilla;Chamartín
2018;Anual;590;56;5;Castilla;Chamartín
2019;Anual;1032;56;5;Castilla;Chamartín
2020;Anual;1064;56;5;Castilla;Chamartín
2021;Anual;1020;56;5;Castilla;Chamartín
2022;Anual;1006;56;5;Castilla;Chamartín
2010;Anual;419;165;16;Apóstol Santiago;Hortaleza
2011;Anual;432;165;16;Apóstol Santiago;Hortaleza
2012;Anual;383;165;16;Apóstol Santiago;Hortaleza
2013;Anual;395;165;16;Apóstol Santiago;Hortaleza
2014;Anual;417;165;16;Apóstol Santiago;Hortaleza
2015;Anual;440;165;16;Apóstol Santiago;Hortaleza
2016;Anual;444;165;16;Apóstol Santiago;Hortaleza
2017;Anual;483;165;16;Apóstol Santiago;Hortaleza
2018;Anual;420;165;16;Apóstol Santiago;Hortaleza
2019;Anual;517;165;16;Apóstol Santiago;Hortaleza
2020;Anual;542;165;16;Apóstol Santiago;Hortaleza
2021;Anual;532;165;16;Apóstol Santiago;Hortaleza
2022;Anual;520;165;16;Apóstol Santiago;Hortaleza
2010;Anual;1833;164;16;Pinar del Rey;Hortaleza
2011;Anual;1757;164;16;Pinar del Rey;Hortaleza
2012;Anual;1559;164;16;Pinar del Rey;Hortaleza
2013;Anual;1565;164;16;Pinar del Rey;Hortaleza
2014;Anual;1741;164;16;Pinar del Rey;Hortaleza
2015;Anual;1871;164;16;Pinar del Rey;Hortaleza
2016;Anual;1851;164;16;Pinar del Rey;Hortaleza
2017;Anual;1932;164;16;Pinar del Rey;Hortaleza
2018;Anual;1677;164;16;Pinar del Rey;Hortaleza
2019;Anual;2078;164;16;Pinar del Rey;Hortaleza
2020;Anual;2130;164;16;Pinar del Rey;Hortaleza
2021;Anual;2072;164;16;Pinar del Rey;Hortaleza
2022;Anual;1998;164;16;Pinar del Rey;Hortaleza
2010;Anual;261;96;9;El Plantío;Moncloa - Aravaca
2011;Anual;260;96;9;El Plantío;Moncloa - Aravaca
2012;Anual;216;96;9;El Plantío;Moncloa - Aravaca
2013;Anual;241;96;9;El Plantío;Moncloa - Aravaca
2014;Anual;247;96;9;El Plantío;Moncloa - Aravaca
2015;Anual;277;96;9;El Plantío;Moncloa - Aravaca
2016;Anual;283;96;9;El Plantío;Moncloa - Aravaca
2017;Anual;307;96;9;El Plantío;Moncloa - Aravaca
2018;Anual;346;96;9;El Plantío;Moncloa - Aravaca
2019;Anual;349;96;9;El Plantío;Moncloa - Aravaca
2020;Anual;351;96;9;El Plantío;Moncloa - Aravaca
2021;Anual;362;96;9;El Plantío;Moncloa - Aravaca
2022;Anual;352;96;9;El Plantío;Moncloa - Aravaca
2010;Anual;710;93;9;Ciudad Universitaria;Moncloa - Aravaca
2011;Anual;734;93;9;Ciudad Universitaria;Moncloa - Aravaca
2012;Anual;608;93;9;Ciudad Universitaria;Moncloa - Aravaca
2013;Anual;644;93;9;Ciudad Universitaria;Moncloa - Aravaca
2014;Anual;741;93;9;Ciudad Universitaria;Moncloa - Aravaca
2015;Anual;823;93;9;Ciudad Universitaria;Moncloa - Aravaca
2016;Anual;818;93;9;Ciudad Universitaria;Moncloa - Aravaca
2017;Anual;902;93;9;Ciudad Universitaria;Moncloa - Aravaca
2018;Anual;606;93;9;Ciudad Universitaria;Moncloa - Aravaca
2019;Anual;998;93;9;Ciudad Universitaria;Moncloa - Aravaca
2020;Anual;1015;93;9;Ciudad Universitaria;Moncloa - Aravaca
2021;Anual;1008;93;9;Ciudad Universitaria;Moncloa - Aravaca
2022;Anual;994;93;9;Ciudad Universitaria;Moncloa - Aravaca
2010;Anual;319;213;21;Casco Histórico de Barajas;Barajas
2011;Anual;314;213;21;Casco Histórico de Barajas;Barajas
2012;Anual;269;213;21;Casco Histórico de Barajas;Barajas
2013;Anual;280;213;21;Casco Histórico de Barajas;Barajas
2014;Anual;310;213;21;Casco Histórico de Barajas;Barajas
2015;Anual;313;213;21;Casco Histórico de Barajas;Barajas
2016;Anual;310;213;21;Casco Histórico de Barajas;Barajas
2017;Anual;331;213;21;Casco Histórico de Barajas;Barajas
2018;Anual;234;213;21;Casco Histórico de Barajas;Barajas
2019;Anual;377;213;21;Casco Histórico de Barajas;Barajas
2020;Anual;382;213;21;Casco Histórico de Barajas;Barajas
2021;Anual;375;213;21;Casco Histórico de Barajas;Barajas
2022;Anual;356;213;21;Casco Histórico de Barajas;Barajas
2010;Anual;188;95;9;Valdemarín;Moncloa - Aravaca
2011;Anual;201;95;9;Valdemarín;Moncloa - Aravaca
2012;Anual;176;95;9;Valdemarín;Moncloa - Aravaca
2013;Anual;211;95;9;Valdemarín;Moncloa - Aravaca
2014;Anual;285;95;9;Valdemarín;Moncloa - Aravaca
2015;Anual;326;95;9;Valdemarín;Moncloa - Aravaca
2016;Anual;360;95;9;Valdemarín;Moncloa - Aravaca
2017;Anual;395;95;9;Valdemarín;Moncloa - Aravaca
2018;Anual;259;95;9;Valdemarín;Moncloa - Aravaca
2019;Anual;466;95;9;Valdemarín;Moncloa - Aravaca
2020;Anual;503;95;9;Valdemarín;Moncloa - Aravaca
2021;Anual;503;95;9;Valdemarín;Moncloa - Aravaca
2022;Anual;535;95;9;Valdemarín;Moncloa - Aravaca
2010;Anual;777;64;6;Almenara;Tetuán
2011;Anual;771;64;6;Almenara;Tetuán
2012;Anual;652;64;6;Almenara;Tetuán
2013;Anual;666;64;6;Almenara;Tetuán
2014;Anual;722;64;6;Almenara;Tetuán
2015;Anual;750;64;6;Almenara;Tetuán
2016;Anual;728;64;6;Almenara;Tetuán
2017;Anual;807;64;6;Almenara;Tetuán
2018;Anual;686;64;6;Almenara;Tetuán
2019;Anual;901;64;6;Almenara;Tetuán
2020;Anual;955;64;6;Almenara;Tetuán
2021;Anual;873;64;6;Almenara;Tetuán
2022;Anual;850;64;6;Almenara;Tetuán
2010;Anual;1036;65;6;Valdeacederas;Tetuán
2011;Anual;1053;65;6;Valdeacederas;Tetuán
2012;Anual;900;65;6;Valdeacederas;Tetuán
2013;Anual;905;65;6;Valdeacederas;Tetuán
2014;Anual;962;65;6;Valdeacederas;Tetuán
2015;Anual;981;65;6;Valdeacederas;Tetuán
2016;Anual;994;65;6;Valdeacederas;Tetuán
2017;Anual;1068;65;6;Valdeacederas;Tetuán
2018;Anual;806;65;6;Valdeacederas;Tetuán
2019;Anual;1168;65;6;Valdeacederas;Tetuán
2020;Anual;1220;65;6;Valdeacederas;Tetuán
2021;Anual;1167;65;6;Valdeacederas;Tetuán
2022;Anual;1152;65;6;Valdeacederas;Tetuán
2010;Anual;838;94;9;Valdezarza;Moncloa - Aravaca
2011;Anual;831;94;9;Valdezarza;Moncloa - Aravaca
2012;Anual;708;94;9;Valdezarza;Moncloa - Aravaca
2013;Anual;728;94;9;Valdezarza;Moncloa - Aravaca
2014;Anual;811;94;9;Valdezarza;Moncloa - Aravaca
2015;Anual;853;94;9;Valdezarza;Moncloa - Aravaca
2016;Anual;896;94;9;Valdezarza;Moncloa - Aravaca
2017;Anual;933;94;9;Valdezarza;Moncloa - Aravaca
2018;Anual;803;94;9;Valdezarza;Moncloa - Aravaca
2019;Anual;1101;94;9;Valdezarza;Moncloa - Aravaca
2020;Anual;1128;94;9;Valdezarza;Moncloa - Aravaca
2021;Anual;1058;94;9;Valdezarza;Moncloa - Aravaca
2022;Anual;1045;94;9;Valdezarza;Moncloa - Aravaca
2010;Anual;238;215;21;Corralejos;Barajas
2011;Anual;261;215;21;Corralejos;Barajas
2012;Anual;243;215;21;Corralejos;Barajas
2013;Anual;273;215;21;Corralejos;Barajas
2014;Anual;307;215;21;Corralejos;Barajas
2015;Anual;331;215;21;Corralejos;Barajas
2016;Anual;338;215;21;Corralejos;Barajas
2017;Anual;384;215;21;Corralejos;Barajas
2018;Anual;200;215;21;Corralejos;Barajas
2019;Anual;433;215;21;Corralejos;Barajas
2020;Anual;427;215;21;Corralejos;Barajas
2021;Anual;424;215;21;Corralejos;Barajas
2022;Anual;415;215;21;Corralejos;Barajas
2010;Anual;1680;163;16;Canillas;Hortaleza
2011;Anual;1689;163;16;Canillas;Hortaleza
2012;Anual;1464;163;16;Canillas;Hortaleza
2013;Anual;1500;163;16;Canillas;Hortaleza
2014;Anual;1630;163;16;Canillas;Hortaleza
2015;Anual;1725;163;16;Canillas;Hortaleza
2016;Anual;1733;163;16;Canillas;Hortaleza
2017;Anual;1794;163;16;Canillas;Hortaleza
2018;Anual;1315;163;16;Canillas;Hortaleza
2019;Anual;1893;163;16;Canillas;Hortaleza
2020;Anual;1932;163;16;Canillas;Hortaleza
2021;Anual;1739;163;16;Canillas;Hortaleza
2022;Anual;1705;163;16;Canillas;Hortaleza
2010;Anual;1716;55;5;Nueva España;Chamartín
2011;Anual;1726;55;5;Nueva España;Chamartín
2012;Anual;1473;55;5;Nueva España;Chamartín
2013;Anual;1492;55;5;Nueva España;Chamartín
2014;Anual;1648;55;5;Nueva España;Chamartín
2015;Anual;1682;55;5;Nueva España;Chamartín
2016;Anual;1670;55;5;Nueva España;Chamartín
2017;Anual;1783;55;5;Nueva España;Chamartín
2018;Anual;1476;55;5;Nueva España;Chamartín
2019;Anual;2037;55;5;Nueva España;Chamartín
2020;Anual;2117;55;5;Nueva España;Chamartín
2021;Anual;2051;55;5;Nueva España;Chamartín
2022;Anual;2042;55;5;Nueva España;Chamartín
2010;Anual;155;158;15;Atalaya;Ciudad Lineal
2011;Anual;153;158;15;Atalaya;Ciudad Lineal
2012;Anual;126;158;15;Atalaya;Ciudad Lineal
2013;Anual;134;158;15;Atalaya;Ciudad Lineal
2014;Anual;146;158;15;Atalaya;Ciudad Lineal
2015;Anual;151;158;15;Atalaya;Ciudad Lineal
2016;Anual;159;158;15;Atalaya;Ciudad Lineal
2017;Anual;163;158;15;Atalaya;Ciudad Lineal
2018;Anual;95;158;15;Atalaya;Ciudad Lineal
2019;Anual;152;158;15;Atalaya;Ciudad Lineal
2020;Anual;143;158;15;Atalaya;Ciudad Lineal
2021;Anual;141;158;15;Atalaya;Ciudad Lineal
2022;Anual;142;158;15;Atalaya;Ciudad Lineal
2010;Anual;1214;97;9;Aravaca;Moncloa - Aravaca
2011;Anual;1225;97;9;Aravaca;Moncloa - Aravaca
2012;Anual;1071;97;9;Aravaca;Moncloa - Aravaca
2013;Anual;1110;97;9;Aravaca;Moncloa - Aravaca
2014;Anual;1283;97;9;Aravaca;Moncloa - Aravaca
2015;Anual;1380;97;9;Aravaca;Moncloa - Aravaca
2016;Anual;1372;97;9;Aravaca;Moncloa - Aravaca
2017;Anual;1493;97;9;Aravaca;Moncloa - Aravaca
2018;Anual;1164;97;9;Aravaca;Moncloa - Aravaca
2019;Anual;1714;97;9;Aravaca;Moncloa - Aravaca
2020;Anual;1770;97;9;Aravaca;Moncloa - Aravaca
2021;Anual;1729;97;9;Aravaca;Moncloa - Aravaca
2022;Anual;1717;97;9;Aravaca;Moncloa - Aravaca
2010;Anual;1884;63;6;Castillejos;Tetuán
2011;Anual;1882;63;6;Castillejos;Tetuán
2012;Anual;1606;63;6;Castillejos;Tetuán
2013;Anual;1680;63;6;Castillejos;Tetuán
2014;Anual;1888;63;6;Castillejos;Tetuán
2015;Anual;1980;63;6;Castillejos;Tetuán
2016;Anual;1892;63;6;Castillejos;Tetuán
2017;Anual;2088;63;6;Castillejos;Tetuán
2018;Anual;1477;63;6;Castillejos;Tetuán
2019;Anual;2168;63;6;Castillejos;Tetuán
2020;Anual;2215;63;6;Castillejos;Tetuán
2021;Anual;2200;63;6;Castillejos;Tetuán
2022;Anual;2204;63;6;Castillejos;Tetuán
2010;Anual;652;211;21;Alameda de Osuna;Barajas
2011;Anual;655;211;21;Alameda de Osuna;Barajas
2012;Anual;574;211;21;Alameda de Osuna;Barajas
2013;Anual;592;211;21;Alameda de Osuna;Barajas
2014;Anual;666;211;21;Alameda de Osuna;Barajas
2015;Anual;698;211;21;Alameda de Osuna;Barajas
2016;Anual;703;211;21;Alameda de Osuna;Barajas
2017;Anual;739;211;21;Alameda de Osuna;Barajas
2018;Anual;521;211;21;Alameda de Osuna;Barajas
2019;Anual;831;211;21;Alameda de Osuna;Barajas
