Anio;Periodo;DatoAfiliacionesResidencia;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2017;Anual;0;194;19;El Cañaveral;Vicálvaro
2018;Anual;131;194;19;El Cañaveral;Vicálvaro
2019;Anual;385;194;19;El Cañaveral;Vicálvaro
2020;Anual;838;194;19;El Cañaveral;Vicálvaro
2021;Anual;874;194;19;El Cañaveral;Vicálvaro
2022;Anual;2627;194;19;El Cañaveral;Vicálvaro
2013;Anual;19133;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Anual;17105;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Anual;17267;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Anual;20453;191;19;Casco histórico de Vicálvaro;Vicálvaro
2017;Anual;21261;191;19;Casco histórico de Vicálvaro;Vicálvaro
2018;Anual;12291;191;19;Casco histórico de Vicálvaro;Vicálvaro
2019;Anual;12909;191;19;Casco histórico de Vicálvaro;Vicálvaro
2020;Anual;13277;191;19;Casco histórico de Vicálvaro;Vicálvaro
2021;Anual;13652;191;19;Casco histórico de Vicálvaro;Vicálvaro
2022;Anual;13710;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Anual;1093;81;8;El Pardo;Fuencarral - El Pardo
2014;Anual;988;81;8;El Pardo;Fuencarral - El Pardo
2015;Anual;980;81;8;El Pardo;Fuencarral - El Pardo
2016;Anual;1085;81;8;El Pardo;Fuencarral - El Pardo
2017;Anual;1117;81;8;El Pardo;Fuencarral - El Pardo
2018;Anual;1148;81;8;El Pardo;Fuencarral - El Pardo
2019;Anual;1194;81;8;El Pardo;Fuencarral - El Pardo
2020;Anual;1253;81;8;El Pardo;Fuencarral - El Pardo
2021;Anual;1253;81;8;El Pardo;Fuencarral - El Pardo
2022;Anual;1324;81;8;El Pardo;Fuencarral - El Pardo
2013;Anual;5933;88;8;El Goloso;Fuencarral - El Pardo
2014;Anual;4782;88;8;El Goloso;Fuencarral - El Pardo
2015;Anual;4853;88;8;El Goloso;Fuencarral - El Pardo
2016;Anual;6663;88;8;El Goloso;Fuencarral - El Pardo
2017;Anual;7210;88;8;El Goloso;Fuencarral - El Pardo
2018;Anual;7236;88;8;El Goloso;Fuencarral - El Pardo
2019;Anual;7602;88;8;El Goloso;Fuencarral - El Pardo
2020;Anual;7848;88;8;El Goloso;Fuencarral - El Pardo
2021;Anual;8096;88;8;El Goloso;Fuencarral - El Pardo
2022;Anual;8272;88;8;El Goloso;Fuencarral - El Pardo
2013;Anual;22716;86;8;Valverde;Fuencarral - El Pardo
2014;Anual;20572;86;8;Valverde;Fuencarral - El Pardo
2015;Anual;20637;86;8;Valverde;Fuencarral - El Pardo
2016;Anual;23031;86;8;Valverde;Fuencarral - El Pardo
2017;Anual;25400;86;8;Valverde;Fuencarral - El Pardo
2018;Anual;25474;86;8;Valverde;Fuencarral - El Pardo
2019;Anual;26698;86;8;Valverde;Fuencarral - El Pardo
2020;Anual;27189;86;8;Valverde;Fuencarral - El Pardo
2021;Anual;27247;86;8;Valverde;Fuencarral - El Pardo
2022;Anual;27808;86;8;Valverde;Fuencarral - El Pardo
2013;Anual;10007;87;8;Mirasierra;Fuencarral - El Pardo
2014;Anual;9398;87;8;Mirasierra;Fuencarral - El Pardo
2015;Anual;9518;87;8;Mirasierra;Fuencarral - El Pardo
2016;Anual;10480;87;8;Mirasierra;Fuencarral - El Pardo
2017;Anual;11857;87;8;Mirasierra;Fuencarral - El Pardo
2018;Anual;12047;87;8;Mirasierra;Fuencarral - El Pardo
2019;Anual;12831;87;8;Mirasierra;Fuencarral - El Pardo
2020;Anual;13236;87;8;Mirasierra;Fuencarral - El Pardo
2021;Anual;13503;87;8;Mirasierra;Fuencarral - El Pardo
2022;Anual;14020;87;8;Mirasierra;Fuencarral - El Pardo
2013;Anual;16356;166;16;Valdefuentes;Hortaleza
2014;Anual;15644;166;16;Valdefuentes;Hortaleza
2015;Anual;15659;166;16;Valdefuentes;Hortaleza
2016;Anual;16965;166;16;Valdefuentes;Hortaleza
2017;Anual;23094;166;16;Valdefuentes;Hortaleza
2018;Anual;23216;166;16;Valdefuentes;Hortaleza
2019;Anual;24625;166;16;Valdefuentes;Hortaleza
2020;Anual;26294;166;16;Valdefuentes;Hortaleza
2021;Anual;27675;166;16;Valdefuentes;Hortaleza
2022;Anual;28856;166;16;Valdefuentes;Hortaleza
2013;Anual;612;212;21;Aeropuerto;Barajas
2014;Anual;538;212;21;Aeropuerto;Barajas
2015;Anual;542;212;21;Aeropuerto;Barajas
2016;Anual;616;212;21;Aeropuerto;Barajas
2017;Anual;632;212;21;Aeropuerto;Barajas
2018;Anual;655;212;21;Aeropuerto;Barajas
2019;Anual;672;212;21;Aeropuerto;Barajas
2020;Anual;681;212;21;Aeropuerto;Barajas
2021;Anual;681;212;21;Aeropuerto;Barajas
2022;Anual;718;212;21;Aeropuerto;Barajas
2013;Anual;3084;214;21;Timón;Barajas
2014;Anual;3722;214;21;Timón;Barajas
2015;Anual;3792;214;21;Timón;Barajas
2016;Anual;4544;214;21;Timón;Barajas
2017;Anual;5137;214;21;Timón;Barajas
2018;Anual;5205;214;21;Timón;Barajas
2019;Anual;5547;214;21;Timón;Barajas
2020;Anual;5864;214;21;Timón;Barajas
2021;Anual;5898;214;21;Timón;Barajas
2022;Anual;6253;214;21;Timón;Barajas
2013;Anual;993;82;8;Fuentelarreina;Fuencarral - El Pardo
2014;Anual;903;82;8;Fuentelarreina;Fuencarral - El Pardo
2015;Anual;900;82;8;Fuentelarreina;Fuencarral - El Pardo
2016;Anual;1043;82;8;Fuentelarreina;Fuencarral - El Pardo
2017;Anual;1048;82;8;Fuentelarreina;Fuencarral - El Pardo
2018;Anual;1047;82;8;Fuentelarreina;Fuencarral - El Pardo
2019;Anual;1076;82;8;Fuentelarreina;Fuencarral - El Pardo
2020;Anual;1107;82;8;Fuentelarreina;Fuencarral - El Pardo
2021;Anual;1174;82;8;Fuentelarreina;Fuencarral - El Pardo
2022;Anual;1212;82;8;Fuentelarreina;Fuencarral - El Pardo
2013;Anual;12711;85;8;La Paz;Fuencarral - El Pardo
2014;Anual;11226;85;8;La Paz;Fuencarral - El Pardo
2015;Anual;11169;85;8;La Paz;Fuencarral - El Pardo
2016;Anual;12362;85;8;La Paz;Fuencarral - El Pardo
2017;Anual;12169;85;8;La Paz;Fuencarral - El Pardo
2018;Anual;12150;85;8;La Paz;Fuencarral - El Pardo
2019;Anual;12230;85;8;La Paz;Fuencarral - El Pardo
2020;Anual;12102;85;8;La Paz;Fuencarral - El Pardo
2021;Anual;11711;85;8;La Paz;Fuencarral - El Pardo
2022;Anual;11630;85;8;La Paz;Fuencarral - El Pardo
2013;Anual;16516;83;8;Peñagrande;Fuencarral - El Pardo
2014;Anual;14733;83;8;Peñagrande;Fuencarral - El Pardo
2015;Anual;14871;83;8;Peñagrande;Fuencarral - El Pardo
2016;Anual;16558;83;8;Peñagrande;Fuencarral - El Pardo
2017;Anual;16766;83;8;Peñagrande;Fuencarral - El Pardo
2018;Anual;16871;83;8;Peñagrande;Fuencarral - El Pardo
2019;Anual;17046;83;8;Peñagrande;Fuencarral - El Pardo
2020;Anual;17112;83;8;Peñagrande;Fuencarral - El Pardo
2021;Anual;16926;83;8;Peñagrande;Fuencarral - El Pardo
2022;Anual;17140;83;8;Peñagrande;Fuencarral - El Pardo
2013;Anual;16899;84;8;Pilar;Fuencarral - El Pardo
2014;Anual;14933;84;8;Pilar;Fuencarral - El Pardo
2015;Anual;14757;84;8;Pilar;Fuencarral - El Pardo
2016;Anual;16494;84;8;Pilar;Fuencarral - El Pardo
2017;Anual;17274;84;8;Pilar;Fuencarral - El Pardo
2018;Anual;17403;84;8;Pilar;Fuencarral - El Pardo
2019;Anual;17920;84;8;Pilar;Fuencarral - El Pardo
2020;Anual;18156;84;8;Pilar;Fuencarral - El Pardo
2021;Anual;18010;84;8;Pilar;Fuencarral - El Pardo
2022;Anual;18241;84;8;Pilar;Fuencarral - El Pardo
2013;Anual;7877;159;15;Costillares;Ciudad Lineal
2014;Anual;7018;159;15;Costillares;Ciudad Lineal
2015;Anual;6998;159;15;Costillares;Ciudad Lineal
2016;Anual;7774;159;15;Costillares;Ciudad Lineal
2017;Anual;7922;159;15;Costillares;Ciudad Lineal
2018;Anual;7988;159;15;Costillares;Ciudad Lineal
2019;Anual;8134;159;15;Costillares;Ciudad Lineal
2020;Anual;8295;159;15;Costillares;Ciudad Lineal
2021;Anual;8263;159;15;Costillares;Ciudad Lineal
2022;Anual;8372;159;15;Costillares;Ciudad Lineal
2013;Anual;5970;56;5;Castilla;Chamartín
2014;Anual;5336;56;5;Castilla;Chamartín
2015;Anual;5386;56;5;Castilla;Chamartín
2016;Anual;6067;56;5;Castilla;Chamartín
2017;Anual;6455;56;5;Castilla;Chamartín
2018;Anual;6408;56;5;Castilla;Chamartín
2019;Anual;6737;56;5;Castilla;Chamartín
2020;Anual;6787;56;5;Castilla;Chamartín
2021;Anual;6704;56;5;Castilla;Chamartín
2022;Anual;6943;56;5;Castilla;Chamartín
2013;Anual;5351;165;16;Apóstol Santiago;Hortaleza
2014;Anual;4756;165;16;Apóstol Santiago;Hortaleza
2015;Anual;4807;165;16;Apóstol Santiago;Hortaleza
2016;Anual;5375;165;16;Apóstol Santiago;Hortaleza
2017;Anual;5546;165;16;Apóstol Santiago;Hortaleza
2018;Anual;5646;165;16;Apóstol Santiago;Hortaleza
2019;Anual;5885;165;16;Apóstol Santiago;Hortaleza
2020;Anual;5946;165;16;Apóstol Santiago;Hortaleza
2021;Anual;5923;165;16;Apóstol Santiago;Hortaleza
2022;Anual;6107;165;16;Apóstol Santiago;Hortaleza
2013;Anual;19334;164;16;Pinar del Rey;Hortaleza
2014;Anual;16943;164;16;Pinar del Rey;Hortaleza
2015;Anual;17039;164;16;Pinar del Rey;Hortaleza
2016;Anual;18914;164;16;Pinar del Rey;Hortaleza
2017;Anual;19554;164;16;Pinar del Rey;Hortaleza
2018;Anual;19802;164;16;Pinar del Rey;Hortaleza
2019;Anual;20327;164;16;Pinar del Rey;Hortaleza
2020;Anual;20577;164;16;Pinar del Rey;Hortaleza
2021;Anual;20165;164;16;Pinar del Rey;Hortaleza
2022;Anual;20710;164;16;Pinar del Rey;Hortaleza
2013;Anual;916;96;9;El Plantío;Moncloa - Aravaca
2014;Anual;786;96;9;El Plantío;Moncloa - Aravaca
2015;Anual;794;96;9;El Plantío;Moncloa - Aravaca
2016;Anual;924;96;9;El Plantío;Moncloa - Aravaca
2017;Anual;1033;96;9;El Plantío;Moncloa - Aravaca
2018;Anual;1040;96;9;El Plantío;Moncloa - Aravaca
2019;Anual;1056;96;9;El Plantío;Moncloa - Aravaca
2020;Anual;1097;96;9;El Plantío;Moncloa - Aravaca
2021;Anual;1096;96;9;El Plantío;Moncloa - Aravaca
2022;Anual;1184;96;9;El Plantío;Moncloa - Aravaca
2013;Anual;5063;93;9;Ciudad Universitaria;Moncloa - Aravaca
2014;Anual;4508;93;9;Ciudad Universitaria;Moncloa - Aravaca
2015;Anual;4496;93;9;Ciudad Universitaria;Moncloa - Aravaca
2016;Anual;5212;93;9;Ciudad Universitaria;Moncloa - Aravaca
2017;Anual;5555;93;9;Ciudad Universitaria;Moncloa - Aravaca
2018;Anual;5470;93;9;Ciudad Universitaria;Moncloa - Aravaca
2019;Anual;5704;93;9;Ciudad Universitaria;Moncloa - Aravaca
2020;Anual;5834;93;9;Ciudad Universitaria;Moncloa - Aravaca
2021;Anual;5879;93;9;Ciudad Universitaria;Moncloa - Aravaca
2022;Anual;6017;93;9;Ciudad Universitaria;Moncloa - Aravaca
2013;Anual;3016;213;21;Casco Histórico de Barajas;Barajas
2014;Anual;2548;213;21;Casco Histórico de Barajas;Barajas
2015;Anual;2547;213;21;Casco Histórico de Barajas;Barajas
2016;Anual;2897;213;21;Casco Histórico de Barajas;Barajas
2017;Anual;3029;213;21;Casco Histórico de Barajas;Barajas
2018;Anual;3045;213;21;Casco Histórico de Barajas;Barajas
2019;Anual;3151;213;21;Casco Histórico de Barajas;Barajas
2020;Anual;3291;213;21;Casco Histórico de Barajas;Barajas
2021;Anual;3207;213;21;Casco Histórico de Barajas;Barajas
2022;Anual;3243;213;21;Casco Histórico de Barajas;Barajas
2013;Anual;2222;95;9;Valdemarín;Moncloa - Aravaca
2014;Anual;2044;95;9;Valdemarín;Moncloa - Aravaca
2015;Anual;2058;95;9;Valdemarín;Moncloa - Aravaca
2016;Anual;1725;95;9;Valdemarín;Moncloa - Aravaca
2017;Anual;2474;95;9;Valdemarín;Moncloa - Aravaca
2018;Anual;2461;95;9;Valdemarín;Moncloa - Aravaca
2019;Anual;2548;95;9;Valdemarín;Moncloa - Aravaca
2020;Anual;2608;95;9;Valdemarín;Moncloa - Aravaca
2021;Anual;2708;95;9;Valdemarín;Moncloa - Aravaca
2022;Anual;2737;95;9;Valdemarín;Moncloa - Aravaca
2013;Anual;7590;64;6;Almenara;Tetuán
2014;Anual;6759;64;6;Almenara;Tetuán
2015;Anual;6780;64;6;Almenara;Tetuán
2016;Anual;7730;64;6;Almenara;Tetuán
2017;Anual;8421;64;6;Almenara;Tetuán
2018;Anual;8505;64;6;Almenara;Tetuán
2019;Anual;8993;64;6;Almenara;Tetuán
2020;Anual;9091;64;6;Almenara;Tetuán
2021;Anual;9054;64;6;Almenara;Tetuán
2022;Anual;9434;64;6;Almenara;Tetuán
2013;Anual;9942;65;6;Valdeacederas;Tetuán
2014;Anual;8732;65;6;Valdeacederas;Tetuán
2015;Anual;8696;65;6;Valdeacederas;Tetuán
2016;Anual;9976;65;6;Valdeacederas;Tetuán
2017;Anual;10889;65;6;Valdeacederas;Tetuán
2018;Anual;10981;65;6;Valdeacederas;Tetuán
2019;Anual;11474;65;6;Valdeacederas;Tetuán
2020;Anual;11569;65;6;Valdeacederas;Tetuán
2021;Anual;11603;65;6;Valdeacederas;Tetuán
2022;Anual;12060;65;6;Valdeacederas;Tetuán
2013;Anual;10641;94;9;Valdezarza;Moncloa - Aravaca
2014;Anual;9438;94;9;Valdezarza;Moncloa - Aravaca
2015;Anual;9457;94;9;Valdezarza;Moncloa - Aravaca
2016;Anual;9848;94;9;Valdezarza;Moncloa - Aravaca
2017;Anual;10916;94;9;Valdezarza;Moncloa - Aravaca
2018;Anual;10985;94;9;Valdezarza;Moncloa - Aravaca
2019;Anual;11260;94;9;Valdezarza;Moncloa - Aravaca
2020;Anual;11534;94;9;Valdezarza;Moncloa - Aravaca
2021;Anual;11402;94;9;Valdezarza;Moncloa - Aravaca
2022;Anual;11832;94;9;Valdezarza;Moncloa - Aravaca
2013;Anual;2894;215;21;Corralejos;Barajas
2014;Anual;1962;215;21;Corralejos;Barajas
2015;Anual;1962;215;21;Corralejos;Barajas
2016;Anual;2950;215;21;Corralejos;Barajas
2017;Anual;3106;215;21;Corralejos;Barajas
2018;Anual;3143;215;21;Corralejos;Barajas
2019;Anual;3299;215;21;Corralejos;Barajas
2020;Anual;3345;215;21;Corralejos;Barajas
2021;Anual;3338;215;21;Corralejos;Barajas
2022;Anual;3422;215;21;Corralejos;Barajas
2013;Anual;15074;163;16;Canillas;Hortaleza
2014;Anual;13438;163;16;Canillas;Hortaleza
2015;Anual;13426;163;16;Canillas;Hortaleza
2016;Anual;14883;163;16;Canillas;Hortaleza
2017;Anual;15203;163;16;Canillas;Hortaleza
2018;Anual;15242;163;16;Canillas;Hortaleza
2019;Anual;15516;163;16;Canillas;Hortaleza
2020;Anual;15531;163;16;Canillas;Hortaleza
2021;Anual;15248;163;16;Canillas;Hortaleza
2022;Anual;15467;163;16;Canillas;Hortaleza
2013;Anual;8381;55;5;Nueva España;Chamartín
2014;Anual;7426;55;5;Nueva España;Chamartín
2015;Anual;7436;55;5;Nueva España;Chamartín
2016;Anual;8544;55;5;Nueva España;Chamartín
2017;Anual;9172;55;5;Nueva España;Chamartín
2018;Anual;9186;55;5;Nueva España;Chamartín
2019;Anual;9584;55;5;Nueva España;Chamartín
2020;Anual;9800;55;5;Nueva España;Chamartín
2021;Anual;9921;55;5;Nueva España;Chamartín
2022;Anual;10039;55;5;Nueva España;Chamartín
2013;Anual;551;158;15;Atalaya;Ciudad Lineal
2014;Anual;475;158;15;Atalaya;Ciudad Lineal
2015;Anual;470;158;15;Atalaya;Ciudad Lineal
2016;Anual;565;158;15;Atalaya;Ciudad Lineal
2017;Anual;552;158;15;Atalaya;Ciudad Lineal
2018;Anual;544;158;15;Atalaya;Ciudad Lineal
2019;Anual;551;158;15;Atalaya;Ciudad Lineal
2020;Anual;556;158;15;Atalaya;Ciudad Lineal
2021;Anual;557;158;15;Atalaya;Ciudad Lineal
2022;Anual;594;158;15;Atalaya;Ciudad Lineal
2013;Anual;9301;97;9;Aravaca;Moncloa - Aravaca
2014;Anual;7813;97;9;Aravaca;Moncloa - Aravaca
2015;Anual;7862;97;9;Aravaca;Moncloa - Aravaca
2016;Anual;9443;97;9;Aravaca;Moncloa - Aravaca
2017;Anual;9755;97;9;Aravaca;Moncloa - Aravaca
2018;Anual;9862;97;9;Aravaca;Moncloa - Aravaca
2019;Anual;10283;97;9;Aravaca;Moncloa - Aravaca
2020;Anual;10472;97;9;Aravaca;Moncloa - Aravaca
2021;Anual;10624;97;9;Aravaca;Moncloa - Aravaca
2022;Anual;10820;97;9;Aravaca;Moncloa - Aravaca
2013;Anual;7348;63;6;Castillejos;Tetuán
2014;Anual;6481;63;6;Castillejos;Tetuán
2015;Anual;6425;63;6;Castillejos;Tetuán
2016;Anual;7227;63;6;Castillejos;Tetuán
2017;Anual;7891;63;6;Castillejos;Tetuán
2018;Anual;7823;63;6;Castillejos;Tetuán
2019;Anual;8187;63;6;Castillejos;Tetuán
2020;Anual;8326;63;6;Castillejos;Tetuán
2021;Anual;8400;63;6;Castillejos;Tetuán
2022;Anual;8635;63;6;Castillejos;Tetuán
2013;Anual;7367;211;21;Alameda de Osuna;Barajas
2014;Anual;6297;211;21;Alameda de Osuna;Barajas
2015;Anual;6303;211;21;Alameda de Osuna;Barajas
2016;Anual;7052;211;21;Alameda de Osuna;Barajas
2017;Anual;7113;211;21;Alameda de Osuna;Barajas
2018;Anual;7106;211;21;Alameda de Osuna;Barajas
2019;Anual;7181;211;21;Alameda de Osuna;Barajas
2020;Anual;7309;211;21;Alameda de Osuna;Barajas
2021;Anual;7271;211;21;Alameda de Osuna;Barajas
2022;Anual;7384;211;21;Alameda de Osuna;Barajas
2013;Anual;9396;66;6;Berruguete;Tetuán
2014;Anual;8244;66;6;Berruguete;Tetuán
2015;Anual;8171;66;6;Berruguete;Tetuán
2016;Anual;9366;66;6;Berruguete;Tetuán
2017;Anual;10133;66;6;Berruguete;Tetuán
2018;Anual;10193;66;6;Berruguete;Tetuán
2019;Anual;10721;66;6;Berruguete;Tetuán
2020;Anual;10865;66;6;Berruguete;Tetuán
2021;Anual;10898;66;6;Berruguete;Tetuán
2022;Anual;11110;66;6;Berruguete;Tetuán
2013;Anual;2273;157;15;Colina;Ciudad Lineal
2014;Anual;1963;157;15;Colina;Ciudad Lineal
2015;Anual;1980;157;15;Colina;Ciudad Lineal
2016;Anual;2197;157;15;Colina;Ciudad Lineal
2017;Anual;2272;157;15;Colina;Ciudad Lineal
2018;Anual;2279;157;15;Colina;Ciudad Lineal
2019;Anual;2422;157;15;Colina;Ciudad Lineal
2020;Anual;2535;157;15;Colina;Ciudad Lineal
2021;Anual;2546;157;15;Colina;Ciudad Lineal
2022;Anual;2578;157;15;Colina;Ciudad Lineal
2013;Anual;5417;162;16;Piovera;Hortaleza
2014;Anual;4846;162;16;Piovera;Hortaleza
2015;Anual;4834;162;16;Piovera;Hortaleza
2016;Anual;5537;162;16;Piovera;Hortaleza
2017;Anual;5739;162;16;Piovera;Hortaleza
2018;Anual;5754;162;16;Piovera;Hortaleza
2019;Anual;5970;162;16;Piovera;Hortaleza
2020;Anual;5996;162;16;Piovera;Hortaleza
2021;Anual;5935;162;16;Piovera;Hortaleza
2022;Anual;5978;162;16;Piovera;Hortaleza
2013;Anual;10894;54;5;Hispanoamérica;Chamartín
2014;Anual;9671;54;5;Hispanoamérica;Chamartín
2015;Anual;9608;54;5;Hispanoamérica;Chamartín
2016;Anual;10967;54;5;Hispanoamérica;Chamartín
2017;Anual;11541;54;5;Hispanoamérica;Chamartín
2018;Anual;11589;54;5;Hispanoamérica;Chamartín
2019;Anual;11891;54;5;Hispanoamérica;Chamartín
2020;Anual;12140;54;5;Hispanoamérica;Chamartín
2021;Anual;12239;54;5;Hispanoamérica;Chamartín
2022;Anual;12431;54;5;Hispanoamérica;Chamartín
2013;Anual;10551;61;6;Bellas Vistas;Tetuán
2014;Anual;9282;61;6;Bellas Vistas;Tetuán
2015;Anual;9172;61;6;Bellas Vistas;Tetuán
2016;Anual;10576;61;6;Bellas Vistas;Tetuán
2017;Anual;11300;61;6;Bellas Vistas;Tetuán
2018;Anual;11455;61;6;Bellas Vistas;Tetuán
2019;Anual;11989;61;6;Bellas Vistas;Tetuán
2020;Anual;12216;61;6;Bellas Vistas;Tetuán
2021;Anual;12109;61;6;Bellas Vistas;Tetuán
2022;Anual;12382;61;6;Bellas Vistas;Tetuán
2013;Anual;1760;161;16;Palomas;Hortaleza
2014;Anual;2156;161;16;Palomas;Hortaleza
2015;Anual;2175;161;16;Palomas;Hortaleza
2016;Anual;2450;161;16;Palomas;Hortaleza
2017;Anual;2503;161;16;Palomas;Hortaleza
2018;Anual;2533;161;16;Palomas;Hortaleza
2019;Anual;2599;161;16;Palomas;Hortaleza
2020;Anual;2631;161;16;Palomas;Hortaleza
2021;Anual;2586;161;16;Palomas;Hortaleza
2022;Anual;2647;161;16;Palomas;Hortaleza
2013;Anual;12425;62;6;Cuatro Caminos;Tetuán
2014;Anual;11085;62;6;Cuatro Caminos;Tetuán
2015;Anual;10864;62;6;Cuatro Caminos;Tetuán
2016;Anual;12377;62;6;Cuatro Caminos;Tetuán
2017;Anual;13471;62;6;Cuatro Caminos;Tetuán
2018;Anual;13362;62;6;Cuatro Caminos;Tetuán
2019;Anual;13799;62;6;Cuatro Caminos;Tetuán
2020;Anual;14229;62;6;Cuatro Caminos;Tetuán
2021;Anual;14265;62;6;Cuatro Caminos;Tetuán
2022;Anual;14718;62;6;Cuatro Caminos;Tetuán
2013;Anual;4507;156;15;San Juan Bautista;Ciudad Lineal
2014;Anual;3942;156;15;San Juan Bautista;Ciudad Lineal
2015;Anual;3985;156;15;San Juan Bautista;Ciudad Lineal
2016;Anual;4515;156;15;San Juan Bautista;Ciudad Lineal
2017;Anual;4715;156;15;San Juan Bautista;Ciudad Lineal
2018;Anual;4731;156;15;San Juan Bautista;Ciudad Lineal
2019;Anual;4890;156;15;San Juan Bautista;Ciudad Lineal
2020;Anual;4868;156;15;San Juan Bautista;Ciudad Lineal
2021;Anual;4915;156;15;San Juan Bautista;Ciudad Lineal
2022;Anual;5000;156;15;San Juan Bautista;Ciudad Lineal
2013;Anual;13825;52;5;Prosperidad;Chamartín
2014;Anual;12260;52;5;Prosperidad;Chamartín
2015;Anual;12178;52;5;Prosperidad;Chamartín
2016;Anual;13637;52;5;Prosperidad;Chamartín
2017;Anual;14342;52;5;Prosperidad;Chamartín
2018;Anual;14327;52;5;Prosperidad;Chamartín
2019;Anual;14890;52;5;Prosperidad;Chamartín
2020;Anual;15072;52;5;Prosperidad;Chamartín
2021;Anual;14907;52;5;Prosperidad;Chamartín
2022;Anual;15159;52;5;Prosperidad;Chamartín
2013;Anual;6943;53;5;Ciudad Jardín;Chamartín
2014;Anual;6120;53;5;Ciudad Jardín;Chamartín
2015;Anual;6099;53;5;Ciudad Jardín;Chamartín
2016;Anual;6998;53;5;Ciudad Jardín;Chamartín
2017;Anual;7294;53;5;Ciudad Jardín;Chamartín
2018;Anual;7316;53;5;Ciudad Jardín;Chamartín
2019;Anual;7623;53;5;Ciudad Jardín;Chamartín
2020;Anual;7688;53;5;Ciudad Jardín;Chamartín
2021;Anual;7642;53;5;Ciudad Jardín;Chamartín
2022;Anual;7697;53;5;Ciudad Jardín;Chamartín
2013;Anual;6043;51;5;El Viso;Chamartín
2014;Anual;5401;51;5;El Viso;Chamartín
2015;Anual;5391;51;5;El Viso;Chamartín
2016;Anual;6220;51;5;El Viso;Chamartín
2017;Anual;6502;51;5;El Viso;Chamartín
2018;Anual;6502;51;5;El Viso;Chamartín
2019;Anual;6753;51;5;El Viso;Chamartín
