Anio;Periodo;DatoAutonomosHombres;DatoAutonomosMujer;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2017;Anual;0;0;194;19;El Cañaveral;Vicálvaro
2018;Anual;5;4;194;19;El Cañaveral;Vicálvaro
2019;Anual;11;9;194;19;El Cañaveral;Vicálvaro
2020;Anual;28;14;194;19;El Cañaveral;Vicálvaro
2021;Anual;41;19;194;19;El Cañaveral;Vicálvaro
2022;Anual;79;38;194;19;El Cañaveral;Vicálvaro
2010;Anual;731;339;191;19;Casco histórico de Vicálvaro;Vicálvaro
2011;Anual;701;307;191;19;Casco histórico de Vicálvaro;Vicálvaro
2012;Anual;615;284;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Anual;675;308;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Anual;741;341;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Anual;769;361;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Anual;812;382;191;19;Casco histórico de Vicálvaro;Vicálvaro
2017;Anual;862;404;191;19;Casco histórico de Vicálvaro;Vicálvaro
2018;Anual;705;297;191;19;Casco histórico de Vicálvaro;Vicálvaro
2019;Anual;859;325;191;19;Casco histórico de Vicálvaro;Vicálvaro
2020;Anual;895;356;191;19;Casco histórico de Vicálvaro;Vicálvaro
2021;Anual;870;339;191;19;Casco histórico de Vicálvaro;Vicálvaro
2022;Anual;853;333;191;19;Casco histórico de Vicálvaro;Vicálvaro
2010;Anual;63;28;81;8;El Pardo;Fuencarral - El Pardo
2011;Anual;53;31;81;8;El Pardo;Fuencarral - El Pardo
2012;Anual;49;24;81;8;El Pardo;Fuencarral - El Pardo
2013;Anual;48;20;81;8;El Pardo;Fuencarral - El Pardo
2014;Anual;54;19;81;8;El Pardo;Fuencarral - El Pardo
2015;Anual;52;25;81;8;El Pardo;Fuencarral - El Pardo
2016;Anual;53;23;81;8;El Pardo;Fuencarral - El Pardo
2017;Anual;59;30;81;8;El Pardo;Fuencarral - El Pardo
2018;Anual;50;25;81;8;El Pardo;Fuencarral - El Pardo
2019;Anual;65;36;81;8;El Pardo;Fuencarral - El Pardo
2020;Anual;65;34;81;8;El Pardo;Fuencarral - El Pardo
2021;Anual;64;38;81;8;El Pardo;Fuencarral - El Pardo
2022;Anual;65;31;81;8;El Pardo;Fuencarral - El Pardo
2010;Anual;90;63;88;8;El Goloso;Fuencarral - El Pardo
2011;Anual;107;78;88;8;El Goloso;Fuencarral - El Pardo
2012;Anual;112;74;88;8;El Goloso;Fuencarral - El Pardo
2013;Anual;135;91;88;8;El Goloso;Fuencarral - El Pardo
2014;Anual;187;119;88;8;El Goloso;Fuencarral - El Pardo
2015;Anual;233;161;88;8;El Goloso;Fuencarral - El Pardo
2016;Anual;280;186;88;8;El Goloso;Fuencarral - El Pardo
2017;Anual;313;204;88;8;El Goloso;Fuencarral - El Pardo
2018;Anual;221;114;88;8;El Goloso;Fuencarral - El Pardo
2019;Anual;382;270;88;8;El Goloso;Fuencarral - El Pardo
2020;Anual;404;278;88;8;El Goloso;Fuencarral - El Pardo
2021;Anual;385;271;88;8;El Goloso;Fuencarral - El Pardo
2022;Anual;394;277;88;8;El Goloso;Fuencarral - El Pardo
2010;Anual;964;473;86;8;Valverde;Fuencarral - El Pardo
2011;Anual;970;492;86;8;Valverde;Fuencarral - El Pardo
2012;Anual;849;449;86;8;Valverde;Fuencarral - El Pardo
2013;Anual;902;500;86;8;Valverde;Fuencarral - El Pardo
2014;Anual;1.063;579;86;8;Valverde;Fuencarral - El Pardo
2015;Anual;1.125;646;86;8;Valverde;Fuencarral - El Pardo
2016;Anual;1.140;672;86;8;Valverde;Fuencarral - El Pardo
2017;Anual;1.229;776;86;8;Valverde;Fuencarral - El Pardo
2018;Anual;1.068;587;86;8;Valverde;Fuencarral - El Pardo
2019;Anual;1.479;891;86;8;Valverde;Fuencarral - El Pardo
2020;Anual;1.542;937;86;8;Valverde;Fuencarral - El Pardo
2021;Anual;1.519;907;86;8;Valverde;Fuencarral - El Pardo
2022;Anual;1.499;914;86;8;Valverde;Fuencarral - El Pardo
2010;Anual;460;330;87;8;Mirasierra;Fuencarral - El Pardo
2011;Anual;474;339;87;8;Mirasierra;Fuencarral - El Pardo
2012;Anual;415;287;87;8;Mirasierra;Fuencarral - El Pardo
2013;Anual;448;321;87;8;Mirasierra;Fuencarral - El Pardo
2014;Anual;535;362;87;8;Mirasierra;Fuencarral - El Pardo
2015;Anual;576;414;87;8;Mirasierra;Fuencarral - El Pardo
2016;Anual;615;416;87;8;Mirasierra;Fuencarral - El Pardo
2017;Anual;655;434;87;8;Mirasierra;Fuencarral - El Pardo
2018;Anual;579;388;87;8;Mirasierra;Fuencarral - El Pardo
2019;Anual;738;506;87;8;Mirasierra;Fuencarral - El Pardo
2020;Anual;797;523;87;8;Mirasierra;Fuencarral - El Pardo
2021;Anual;804;488;87;8;Mirasierra;Fuencarral - El Pardo
2022;Anual;809;498;87;8;Mirasierra;Fuencarral - El Pardo
2010;Anual;533;309;166;16;Valdefuentes;Hortaleza
2011;Anual;573;333;166;16;Valdefuentes;Hortaleza
2012;Anual;538;303;166;16;Valdefuentes;Hortaleza
2013;Anual;571;341;166;16;Valdefuentes;Hortaleza
2014;Anual;702;422;166;16;Valdefuentes;Hortaleza
2015;Anual;795;489;166;16;Valdefuentes;Hortaleza
2016;Anual;874;532;166;16;Valdefuentes;Hortaleza
2017;Anual;988;611;166;16;Valdefuentes;Hortaleza
2018;Anual;809;505;166;16;Valdefuentes;Hortaleza
2019;Anual;1.271;829;166;16;Valdefuentes;Hortaleza
2020;Anual;1.405;920;166;16;Valdefuentes;Hortaleza
2021;Anual;1.398;911;166;16;Valdefuentes;Hortaleza
2022;Anual;1.442;891;166;16;Valdefuentes;Hortaleza
2010;Anual;47;20;212;21;Aeropuerto;Barajas
2011;Anual;40;17;212;21;Aeropuerto;Barajas
2012;Anual;34;17;212;21;Aeropuerto;Barajas
2013;Anual;35;19;212;21;Aeropuerto;Barajas
2014;Anual;41;20;212;21;Aeropuerto;Barajas
2015;Anual;49;18;212;21;Aeropuerto;Barajas
2016;Anual;50;23;212;21;Aeropuerto;Barajas
2017;Anual;52;24;212;21;Aeropuerto;Barajas
2018;Anual;55;27;212;21;Aeropuerto;Barajas
2019;Anual;65;34;212;21;Aeropuerto;Barajas
2020;Anual;162;48;212;21;Aeropuerto;Barajas
2021;Anual;287;58;212;21;Aeropuerto;Barajas
2022;Anual;446;85;212;21;Aeropuerto;Barajas
2010;Anual;187;149;214;21;Timón;Barajas
2011;Anual;185;157;214;21;Timón;Barajas
2012;Anual;171;141;214;21;Timón;Barajas
2013;Anual;179;148;214;21;Timón;Barajas
2014;Anual;193;169;214;21;Timón;Barajas
2015;Anual;205;173;214;21;Timón;Barajas
2016;Anual;208;171;214;21;Timón;Barajas
2017;Anual;235;176;214;21;Timón;Barajas
2018;Anual;206;147;214;21;Timón;Barajas
2019;Anual;271;196;214;21;Timón;Barajas
2020;Anual;303;220;214;21;Timón;Barajas
2021;Anual;284;211;214;21;Timón;Barajas
2022;Anual;281;209;214;21;Timón;Barajas
2010;Anual;55;45;82;8;Fuentelarreina;Fuencarral - El Pardo
2011;Anual;57;46;82;8;Fuentelarreina;Fuencarral - El Pardo
2012;Anual;54;43;82;8;Fuentelarreina;Fuencarral - El Pardo
2013;Anual;58;44;82;8;Fuentelarreina;Fuencarral - El Pardo
2014;Anual;67;53;82;8;Fuentelarreina;Fuencarral - El Pardo
2015;Anual;72;59;82;8;Fuentelarreina;Fuencarral - El Pardo
2016;Anual;70;53;82;8;Fuentelarreina;Fuencarral - El Pardo
2017;Anual;78;59;82;8;Fuentelarreina;Fuencarral - El Pardo
2018;Anual;48;46;82;8;Fuentelarreina;Fuencarral - El Pardo
2019;Anual;102;72;82;8;Fuentelarreina;Fuencarral - El Pardo
2020;Anual;104;74;82;8;Fuentelarreina;Fuencarral - El Pardo
2021;Anual;106;77;82;8;Fuentelarreina;Fuencarral - El Pardo
2022;Anual;108;74;82;8;Fuentelarreina;Fuencarral - El Pardo
2010;Anual;635;385;85;8;La Paz;Fuencarral - El Pardo
2011;Anual;658;396;85;8;La Paz;Fuencarral - El Pardo
2012;Anual;558;342;85;8;La Paz;Fuencarral - El Pardo
2013;Anual;592;361;85;8;La Paz;Fuencarral - El Pardo
2014;Anual;627;409;85;8;La Paz;Fuencarral - El Pardo
2015;Anual;674;415;85;8;La Paz;Fuencarral - El Pardo
2016;Anual;681;419;85;8;La Paz;Fuencarral - El Pardo
2017;Anual;711;436;85;8;La Paz;Fuencarral - El Pardo
2018;Anual;656;401;85;8;La Paz;Fuencarral - El Pardo
2019;Anual;765;492;85;8;La Paz;Fuencarral - El Pardo
2020;Anual;785;483;85;8;La Paz;Fuencarral - El Pardo
2021;Anual;741;453;85;8;La Paz;Fuencarral - El Pardo
2022;Anual;741;449;85;8;La Paz;Fuencarral - El Pardo
2010;Anual;814;478;83;8;Peñagrande;Fuencarral - El Pardo
2011;Anual;811;470;83;8;Peñagrande;Fuencarral - El Pardo
2012;Anual;717;412;83;8;Peñagrande;Fuencarral - El Pardo
2013;Anual;731;429;83;8;Peñagrande;Fuencarral - El Pardo
2014;Anual;783;484;83;8;Peñagrande;Fuencarral - El Pardo
2015;Anual;843;515;83;8;Peñagrande;Fuencarral - El Pardo
2016;Anual;884;558;83;8;Peñagrande;Fuencarral - El Pardo
2017;Anual;923;610;83;8;Peñagrande;Fuencarral - El Pardo
2018;Anual;857;526;83;8;Peñagrande;Fuencarral - El Pardo
2019;Anual;1.062;691;83;8;Peñagrande;Fuencarral - El Pardo
2020;Anual;1.092;703;83;8;Peñagrande;Fuencarral - El Pardo
2021;Anual;1.029;671;83;8;Peñagrande;Fuencarral - El Pardo
2022;Anual;1.007;660;83;8;Peñagrande;Fuencarral - El Pardo
2010;Anual;973;503;84;8;Pilar;Fuencarral - El Pardo
2011;Anual;975;515;84;8;Pilar;Fuencarral - El Pardo
2012;Anual;846;449;84;8;Pilar;Fuencarral - El Pardo
2013;Anual;860;482;84;8;Pilar;Fuencarral - El Pardo
2014;Anual;920;529;84;8;Pilar;Fuencarral - El Pardo
2015;Anual;980;563;84;8;Pilar;Fuencarral - El Pardo
2016;Anual;994;569;84;8;Pilar;Fuencarral - El Pardo
2017;Anual;1.029;615;84;8;Pilar;Fuencarral - El Pardo
2018;Anual;757;401;84;8;Pilar;Fuencarral - El Pardo
2019;Anual;1.104;645;84;8;Pilar;Fuencarral - El Pardo
2020;Anual;1.109;657;84;8;Pilar;Fuencarral - El Pardo
2021;Anual;1.081;631;84;8;Pilar;Fuencarral - El Pardo
2022;Anual;1.041;609;84;8;Pilar;Fuencarral - El Pardo
2010;Anual;552;357;159;15;Costillares;Ciudad Lineal
2011;Anual;559;346;159;15;Costillares;Ciudad Lineal
2012;Anual;485;302;159;15;Costillares;Ciudad Lineal
2013;Anual;495;311;159;15;Costillares;Ciudad Lineal
2014;Anual;528;358;159;15;Costillares;Ciudad Lineal
2015;Anual;556;382;159;15;Costillares;Ciudad Lineal
2016;Anual;576;400;159;15;Costillares;Ciudad Lineal
2017;Anual;614;442;159;15;Costillares;Ciudad Lineal
2018;Anual;306;215;159;15;Costillares;Ciudad Lineal
2019;Anual;679;481;159;15;Costillares;Ciudad Lineal
2020;Anual;694;519;159;15;Costillares;Ciudad Lineal
2021;Anual;677;488;159;15;Costillares;Ciudad Lineal
2022;Anual;668;466;159;15;Costillares;Ciudad Lineal
2010;Anual;548;310;56;5;Castilla;Chamartín
2011;Anual;538;317;56;5;Castilla;Chamartín
2012;Anual;475;283;56;5;Castilla;Chamartín
2013;Anual;481;286;56;5;Castilla;Chamartín
2014;Anual;532;320;56;5;Castilla;Chamartín
2015;Anual;557;345;56;5;Castilla;Chamartín
2016;Anual;560;337;56;5;Castilla;Chamartín
2017;Anual;624;365;56;5;Castilla;Chamartín
2018;Anual;379;211;56;5;Castilla;Chamartín
2019;Anual;653;379;56;5;Castilla;Chamartín
2020;Anual;664;400;56;5;Castilla;Chamartín
2021;Anual;641;379;56;5;Castilla;Chamartín
2022;Anual;631;375;56;5;Castilla;Chamartín
2010;Anual;272;147;165;16;Apóstol Santiago;Hortaleza
2011;Anual;283;149;165;16;Apóstol Santiago;Hortaleza
2012;Anual;256;127;165;16;Apóstol Santiago;Hortaleza
2013;Anual;261;134;165;16;Apóstol Santiago;Hortaleza
2014;Anual;270;147;165;16;Apóstol Santiago;Hortaleza
2015;Anual;281;159;165;16;Apóstol Santiago;Hortaleza
2016;Anual;276;168;165;16;Apóstol Santiago;Hortaleza
2017;Anual;307;176;165;16;Apóstol Santiago;Hortaleza
2018;Anual;284;136;165;16;Apóstol Santiago;Hortaleza
2019;Anual;319;198;165;16;Apóstol Santiago;Hortaleza
2020;Anual;340;202;165;16;Apóstol Santiago;Hortaleza
2021;Anual;333;199;165;16;Apóstol Santiago;Hortaleza
2022;Anual;323;197;165;16;Apóstol Santiago;Hortaleza
2010;Anual;1.276;557;164;16;Pinar del Rey;Hortaleza
2011;Anual;1.190;567;164;16;Pinar del Rey;Hortaleza
2012;Anual;1.055;504;164;16;Pinar del Rey;Hortaleza
2013;Anual;1.047;518;164;16;Pinar del Rey;Hortaleza
2014;Anual;1.143;598;164;16;Pinar del Rey;Hortaleza
2015;Anual;1.232;639;164;16;Pinar del Rey;Hortaleza
2016;Anual;1.221;630;164;16;Pinar del Rey;Hortaleza
2017;Anual;1.278;654;164;16;Pinar del Rey;Hortaleza
2018;Anual;1.139;538;164;16;Pinar del Rey;Hortaleza
2019;Anual;1.347;731;164;16;Pinar del Rey;Hortaleza
2020;Anual;1.378;752;164;16;Pinar del Rey;Hortaleza
2021;Anual;1.353;719;164;16;Pinar del Rey;Hortaleza
2022;Anual;1.294;704;164;16;Pinar del Rey;Hortaleza
2010;Anual;171;90;96;9;El Plantío;Moncloa - Aravaca
2011;Anual;164;96;96;9;El Plantío;Moncloa - Aravaca
2012;Anual;134;82;96;9;El Plantío;Moncloa - Aravaca
2013;Anual;154;87;96;9;El Plantío;Moncloa - Aravaca
2014;Anual;161;86;96;9;El Plantío;Moncloa - Aravaca
2015;Anual;178;99;96;9;El Plantío;Moncloa - Aravaca
2016;Anual;180;103;96;9;El Plantío;Moncloa - Aravaca
2017;Anual;195;112;96;9;El Plantío;Moncloa - Aravaca
2018;Anual;226;120;96;9;El Plantío;Moncloa - Aravaca
2019;Anual;227;122;96;9;El Plantío;Moncloa - Aravaca
2020;Anual;220;131;96;9;El Plantío;Moncloa - Aravaca
2021;Anual;230;132;96;9;El Plantío;Moncloa - Aravaca
2022;Anual;226;126;96;9;El Plantío;Moncloa - Aravaca
2010;Anual;424;286;93;9;Ciudad Universitaria;Moncloa - Aravaca
2011;Anual;440;294;93;9;Ciudad Universitaria;Moncloa - Aravaca
2012;Anual;372;236;93;9;Ciudad Universitaria;Moncloa - Aravaca
2013;Anual;392;252;93;9;Ciudad Universitaria;Moncloa - Aravaca
2014;Anual;443;298;93;9;Ciudad Universitaria;Moncloa - Aravaca
2015;Anual;519;304;93;9;Ciudad Universitaria;Moncloa - Aravaca
2016;Anual;520;298;93;9;Ciudad Universitaria;Moncloa - Aravaca
2017;Anual;579;323;93;9;Ciudad Universitaria;Moncloa - Aravaca
2018;Anual;361;245;93;9;Ciudad Universitaria;Moncloa - Aravaca
2019;Anual;624;374;93;9;Ciudad Universitaria;Moncloa - Aravaca
2020;Anual;632;383;93;9;Ciudad Universitaria;Moncloa - Aravaca
2021;Anual;625;383;93;9;Ciudad Universitaria;Moncloa - Aravaca
2022;Anual;623;371;93;9;Ciudad Universitaria;Moncloa - Aravaca
2010;Anual;203;116;213;21;Casco Histórico de Barajas;Barajas
2011;Anual;197;117;213;21;Casco Histórico de Barajas;Barajas
2012;Anual;172;97;213;21;Casco Histórico de Barajas;Barajas
2013;Anual;180;100;213;21;Casco Histórico de Barajas;Barajas
2014;Anual;197;113;213;21;Casco Histórico de Barajas;Barajas
2015;Anual;202;111;213;21;Casco Histórico de Barajas;Barajas
2016;Anual;197;113;213;21;Casco Histórico de Barajas;Barajas
2017;Anual;211;120;213;21;Casco Histórico de Barajas;Barajas
2018;Anual;144;90;213;21;Casco Histórico de Barajas;Barajas
2019;Anual;234;143;213;21;Casco Histórico de Barajas;Barajas
2020;Anual;242;140;213;21;Casco Histórico de Barajas;Barajas
2021;Anual;235;140;213;21;Casco Histórico de Barajas;Barajas
2022;Anual;220;136;213;21;Casco Histórico de Barajas;Barajas
2010;Anual;105;83;95;9;Valdemarín;Moncloa - Aravaca
2011;Anual;112;89;95;9;Valdemarín;Moncloa - Aravaca
2012;Anual;101;75;95;9;Valdemarín;Moncloa - Aravaca
2013;Anual;123;88;95;9;Valdemarín;Moncloa - Aravaca
2014;Anual;154;131;95;9;Valdemarín;Moncloa - Aravaca
2015;Anual;171;155;95;9;Valdemarín;Moncloa - Aravaca
2016;Anual;186;174;95;9;Valdemarín;Moncloa - Aravaca
2017;Anual;211;184;95;9;Valdemarín;Moncloa - Aravaca
2018;Anual;157;102;95;9;Valdemarín;Moncloa - Aravaca
2019;Anual;248;218;95;9;Valdemarín;Moncloa - Aravaca
2020;Anual;272;231;95;9;Valdemarín;Moncloa - Aravaca
2021;Anual;282;221;95;9;Valdemarín;Moncloa - Aravaca
2022;Anual;296;239;95;9;Valdemarín;Moncloa - Aravaca
2010;Anual;535;242;64;6;Almenara;Tetuán
2011;Anual;529;242;64;6;Almenara;Tetuán
2012;Anual;450;202;64;6;Almenara;Tetuán
2013;Anual;452;214;64;6;Almenara;Tetuán
2014;Anual;487;235;64;6;Almenara;Tetuán
2015;Anual;494;256;64;6;Almenara;Tetuán
2016;Anual;486;242;64;6;Almenara;Tetuán
2017;Anual;540;267;64;6;Almenara;Tetuán
2018;Anual;465;221;64;6;Almenara;Tetuán
2019;Anual;589;312;64;6;Almenara;Tetuán
2020;Anual;629;326;64;6;Almenara;Tetuán
2021;Anual;586;287;64;6;Almenara;Tetuán
2022;Anual;562;288;64;6;Almenara;Tetuán
2010;Anual;751;285;65;6;Valdeacederas;Tetuán
2011;Anual;758;295;65;6;Valdeacederas;Tetuán
2012;Anual;666;234;65;6;Valdeacederas;Tetuán
2013;Anual;655;250;65;6;Valdeacederas;Tetuán
2014;Anual;693;269;65;6;Valdeacederas;Tetuán
2015;Anual;705;276;65;6;Valdeacederas;Tetuán
2016;Anual;699;295;65;6;Valdeacederas;Tetuán
2017;Anual;753;315;65;6;Valdeacederas;Tetuán
2018;Anual;560;246;65;6;Valdeacederas;Tetuán
2019;Anual;802;366;65;6;Valdeacederas;Tetuán
2020;Anual;842;378;65;6;Valdeacederas;Tetuán
2021;Anual;807;360;65;6;Valdeacederas;Tetuán
2022;Anual;798;354;65;6;Valdeacederas;Tetuán
2010;Anual;556;282;94;9;Valdezarza;Moncloa - Aravaca
2011;Anual;555;276;94;9;Valdezarza;Moncloa - Aravaca
2012;Anual;467;241;94;9;Valdezarza;Moncloa - Aravaca
2013;Anual;476;252;94;9;Valdezarza;Moncloa - Aravaca
2014;Anual;523;288;94;9;Valdezarza;Moncloa - Aravaca
2015;Anual;555;298;94;9;Valdezarza;Moncloa - Aravaca
2016;Anual;582;314;94;9;Valdezarza;Moncloa - Aravaca
2017;Anual;599;334;94;9;Valdezarza;Moncloa - Aravaca
2018;Anual;511;292;94;9;Valdezarza;Moncloa - Aravaca
2019;Anual;700;401;94;9;Valdezarza;Moncloa - Aravaca
2020;Anual;702;426;94;9;Valdezarza;Moncloa - Aravaca
2021;Anual;663;395;94;9;Valdezarza;Moncloa - Aravaca
2022;Anual;649;396;94;9;Valdezarza;Moncloa - Aravaca
2010;Anual;155;83;215;21;Corralejos;Barajas
2011;Anual;174;87;215;21;Corralejos;Barajas
2012;Anual;164;79;215;21;Corralejos;Barajas
2013;Anual;189;84;215;21;Corralejos;Barajas
2014;Anual;208;99;215;21;Corralejos;Barajas
2015;Anual;219;112;215;21;Corralejos;Barajas
2016;Anual;220;118;215;21;Corralejos;Barajas
2017;Anual;248;136;215;21;Corralejos;Barajas
2018;Anual;127;73;215;21;Corralejos;Barajas
2019;Anual;273;160;215;21;Corralejos;Barajas
2020;Anual;268;159;215;21;Corralejos;Barajas
2021;Anual;268;156;215;21;Corralejos;Barajas
2022;Anual;264;151;215;21;Corralejos;Barajas
2010;Anual;1.144;536;163;16;Canillas;Hortaleza
2011;Anual;1.144;545;163;16;Canillas;Hortaleza
2012;Anual;988;476;163;16;Canillas;Hortaleza
2013;Anual;996;504;163;16;Canillas;Hortaleza
2014;Anual;1.057;573;163;16;Canillas;Hortaleza
2015;Anual;1.115;610;163;16;Canillas;Hortaleza
2016;Anual;1.110;623;163;16;Canillas;Hortaleza
2017;Anual;1.158;636;163;16;Canillas;Hortaleza
2018;Anual;862;453;163;16;Canillas;Hortaleza
2019;Anual;1.215;678;163;16;Canillas;Hortaleza
2020;Anual;1.212;720;163;16;Canillas;Hortaleza
2021;Anual;1.085;654;163;16;Canillas;Hortaleza
2022;Anual;1.064;641;163;16;Canillas;Hortaleza
2010;Anual;1.046;670;55;5;Nueva España;Chamartín
2011;Anual;1.048;678;55;5;Nueva España;Chamartín
2012;Anual;908;565;55;5;Nueva España;Chamartín
2013;Anual;898;594;55;5;Nueva España;Chamartín
2014;Anual;1.001;647;55;5;Nueva España;Chamartín
2015;Anual;1.017;665;55;5;Nueva España;Chamartín
2016;Anual;1.002;668;55;5;Nueva España;Chamartín
2017;Anual;1.083;700;55;5;Nueva España;Chamartín
2018;Anual;911;565;55;5;Nueva España;Chamartín
2019;Anual;1.195;842;55;5;Nueva España;Chamartín
2020;Anual;1.249;868;55;5;Nueva España;Chamartín
2021;Anual;1.213;838;55;5;Nueva España;Chamartín
2022;Anual;1.200;842;55;5;Nueva España;Chamartín
2010;Anual;71;84;158;15;Atalaya;Ciudad Lineal
2011;Anual;68;85;158;15;Atalaya;Ciudad Lineal
2012;Anual;58;68;158;15;Atalaya;Ciudad Lineal
2013;Anual;63;71;158;15;Atalaya;Ciudad Lineal
2014;Anual;68;78;158;15;Atalaya;Ciudad Lineal
2015;Anual;70;81;158;15;Atalaya;Ciudad Lineal
2016;Anual;68;91;158;15;Atalaya;Ciudad Lineal
2017;Anual;77;86;158;15;Atalaya;Ciudad Lineal
2018;Anual;44;51;158;15;Atalaya;Ciudad Lineal
2019;Anual;71;81;158;15;Atalaya;Ciudad Lineal
2020;Anual;62;81;158;15;Atalaya;Ciudad Lineal
2021;Anual;62;79;158;15;Atalaya;Ciudad Lineal
2022;Anual;65;77;158;15;Atalaya;Ciudad Lineal
2010;Anual;708;506;97;9;Aravaca;Moncloa - Aravaca
2011;Anual;719;506;97;9;Aravaca;Moncloa - Aravaca
2012;Anual;635;436;97;9;Aravaca;Moncloa - Aravaca
2013;Anual;653;457;97;9;Aravaca;Moncloa - Aravaca
2014;Anual;740;543;97;9;Aravaca;Moncloa - Aravaca
2015;Anual;796;584;97;9;Aravaca;Moncloa - Aravaca
2016;Anual;780;592;97;9;Aravaca;Moncloa - Aravaca
2017;Anual;862;631;97;9;Aravaca;Moncloa - Aravaca
2018;Anual;692;472;97;9;Aravaca;Moncloa - Aravaca
2019;Anual;976;738;97;9;Aravaca;Moncloa - Aravaca
2020;Anual;1.009;761;97;9;Aravaca;Moncloa - Aravaca
2021;Anual;1.011;718;97;9;Aravaca;Moncloa - Aravaca
2022;Anual;1.004;713;97;9;Aravaca;Moncloa - Aravaca
2010;Anual;1.228;656;63;6;Castillejos;Tetuán
2011;Anual;1.201;681;63;6;Castillejos;Tetuán
2012;Anual;1.025;581;63;6;Castillejos;Tetuán
2013;Anual;1.077;603;63;6;Castillejos;Tetuán
2014;Anual;1.187;701;63;6;Castillejos;Tetuán
2015;Anual;1.250;730;63;6;Castillejos;Tetuán
2016;Anual;1.189;703;63;6;Castillejos;Tetuán
2017;Anual;1.317;771;63;6;Castillejos;Tetuán
2018;Anual;930;547;63;6;Castillejos;Tetuán
2019;Anual;1.351;817;63;6;Castillejos;Tetuán
2020;Anual;1.357;858;63;6;Castillejos;Tetuán
2021;Anual;1.365;835;63;6;Castillejos;Tetuán
2022;Anual;1.367;837;63;6;Castillejos;Tetuán
2010;Anual;429;223;211;21;Alameda de Osuna;Barajas
2011;Anual;425;230;211;21;Alameda de Osuna;Barajas
2012;Anual;369;205;211;21;Alameda de Osuna;Barajas
2013;Anual;390;202;211;21;Alameda de Osuna;Barajas
2014;Anual;436;230;211;21;Alameda de Osuna;Barajas
2015;Anual;454;244;211;21;Alameda de Osuna;Barajas
2016;Anual;443;260;211;21;Alameda de Osuna;Barajas
2017;Anual;470;269;211;21;Alameda de Osuna;Barajas
2018;Anual;348;173;211;21;Alameda de Osuna;Barajas
2019;Anual;513;318;211;21;Alameda de Osuna;Barajas
2020;Anual;507;355;211;21;Alameda de Osuna;Barajas
2021;Anual;487;332;211;21;Alameda de Osuna;Barajas
2022;Anual;473;327;211;21;Alameda de Osuna;Barajas
2010;Anual;661;332;66;6;Berruguete;Tetuán
