Anio;Periodo;DatoAutonomosHombres;DatoAutonomosMujer;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2011;Anual;636;333;66;6;Berruguete;Tetuán
2012;Anual;576;292;66;6;Berruguete;Tetuán
2013;Anual;610;290;66;6;Berruguete;Tetuán
2014;Anual;648;324;66;6;Berruguete;Tetuán
2015;Anual;686;340;66;6;Berruguete;Tetuán
2016;Anual;706;331;66;6;Berruguete;Tetuán
2017;Anual;695;374;66;6;Berruguete;Tetuán
2018;Anual;535;281;66;6;Berruguete;Tetuán
2019;Anual;758;404;66;6;Berruguete;Tetuán
2020;Anual;784;428;66;6;Berruguete;Tetuán
2021;Anual;768;405;66;6;Berruguete;Tetuán
2022;Anual;743;389;66;6;Berruguete;Tetuán
2010;Anual;227;165;157;15;Colina;Ciudad Lineal
2011;Anual;241;159;157;15;Colina;Ciudad Lineal
2012;Anual;209;134;157;15;Colina;Ciudad Lineal
2013;Anual;220;139;157;15;Colina;Ciudad Lineal
2014;Anual;242;167;157;15;Colina;Ciudad Lineal
2015;Anual;241;167;157;15;Colina;Ciudad Lineal
2016;Anual;240;184;157;15;Colina;Ciudad Lineal
2017;Anual;247;184;157;15;Colina;Ciudad Lineal
2018;Anual;173;124;157;15;Colina;Ciudad Lineal
2019;Anual;280;200;157;15;Colina;Ciudad Lineal
2020;Anual;275;203;157;15;Colina;Ciudad Lineal
2021;Anual;274;195;157;15;Colina;Ciudad Lineal
2022;Anual;256;187;157;15;Colina;Ciudad Lineal
2010;Anual;431;342;162;16;Piovera;Hortaleza
2011;Anual;441;347;162;16;Piovera;Hortaleza
2012;Anual;392;289;162;16;Piovera;Hortaleza
2013;Anual;400;332;162;16;Piovera;Hortaleza
2014;Anual;446;364;162;16;Piovera;Hortaleza
2015;Anual;446;362;162;16;Piovera;Hortaleza
2016;Anual;448;373;162;16;Piovera;Hortaleza
2017;Anual;506;372;162;16;Piovera;Hortaleza
2018;Anual;374;258;162;16;Piovera;Hortaleza
2019;Anual;538;429;162;16;Piovera;Hortaleza
2020;Anual;543;463;162;16;Piovera;Hortaleza
2021;Anual;527;441;162;16;Piovera;Hortaleza
2022;Anual;508;427;162;16;Piovera;Hortaleza
2010;Anual;1.293;860;54;5;Hispanoamérica;Chamartín
2011;Anual;1.307;859;54;5;Hispanoamérica;Chamartín
2012;Anual;1.121;752;54;5;Hispanoamérica;Chamartín
2013;Anual;1.177;787;54;5;Hispanoamérica;Chamartín
2014;Anual;1.284;843;54;5;Hispanoamérica;Chamartín
2015;Anual;1.271;827;54;5;Hispanoamérica;Chamartín
2016;Anual;1.251;822;54;5;Hispanoamérica;Chamartín
2017;Anual;1.363;872;54;5;Hispanoamérica;Chamartín
2018;Anual;1.217;788;54;5;Hispanoamérica;Chamartín
2019;Anual;1.449;981;54;5;Hispanoamérica;Chamartín
2020;Anual;1.453;1.014;54;5;Hispanoamérica;Chamartín
2021;Anual;1.421;980;54;5;Hispanoamérica;Chamartín
2022;Anual;1.432;995;54;5;Hispanoamérica;Chamartín
2010;Anual;788;395;61;6;Bellas Vistas;Tetuán
2011;Anual;787;404;61;6;Bellas Vistas;Tetuán
2012;Anual;685;352;61;6;Bellas Vistas;Tetuán
2013;Anual;733;359;61;6;Bellas Vistas;Tetuán
2014;Anual;767;433;61;6;Bellas Vistas;Tetuán
2015;Anual;794;436;61;6;Bellas Vistas;Tetuán
2016;Anual;780;410;61;6;Bellas Vistas;Tetuán
2017;Anual;776;428;61;6;Bellas Vistas;Tetuán
2018;Anual;579;296;61;6;Bellas Vistas;Tetuán
2019;Anual;867;487;61;6;Bellas Vistas;Tetuán
2020;Anual;890;530;61;6;Bellas Vistas;Tetuán
2021;Anual;903;526;61;6;Bellas Vistas;Tetuán
2022;Anual;887;516;61;6;Bellas Vistas;Tetuán
2010;Anual;139;111;161;16;Palomas;Hortaleza
2011;Anual;162;122;161;16;Palomas;Hortaleza
2012;Anual;149;116;161;16;Palomas;Hortaleza
2013;Anual;152;116;161;16;Palomas;Hortaleza
2014;Anual;174;131;161;16;Palomas;Hortaleza
2015;Anual;179;138;161;16;Palomas;Hortaleza
2016;Anual;185;133;161;16;Palomas;Hortaleza
2017;Anual;189;148;161;16;Palomas;Hortaleza
2018;Anual;118;85;161;16;Palomas;Hortaleza
2019;Anual;217;163;161;16;Palomas;Hortaleza
2020;Anual;222;183;161;16;Palomas;Hortaleza
2021;Anual;211;188;161;16;Palomas;Hortaleza
2022;Anual;216;178;161;16;Palomas;Hortaleza
2010;Anual;1.742;913;62;6;Cuatro Caminos;Tetuán
2011;Anual;1.814;960;62;6;Cuatro Caminos;Tetuán
2012;Anual;1.604;805;62;6;Cuatro Caminos;Tetuán
2013;Anual;1.614;837;62;6;Cuatro Caminos;Tetuán
2014;Anual;1.766;938;62;6;Cuatro Caminos;Tetuán
2015;Anual;1.794;984;62;6;Cuatro Caminos;Tetuán
2016;Anual;1.749;958;62;6;Cuatro Caminos;Tetuán
2017;Anual;1.912;1.050;62;6;Cuatro Caminos;Tetuán
2018;Anual;1.463;797;62;6;Cuatro Caminos;Tetuán
2019;Anual;2.028;1.143;62;6;Cuatro Caminos;Tetuán
2020;Anual;2.056;1.168;62;6;Cuatro Caminos;Tetuán
2021;Anual;1.950;1.138;62;6;Cuatro Caminos;Tetuán
2022;Anual;1.918;1.151;62;6;Cuatro Caminos;Tetuán
2010;Anual;410;255;156;15;San Juan Bautista;Ciudad Lineal
2011;Anual;393;253;156;15;San Juan Bautista;Ciudad Lineal
2012;Anual;377;214;156;15;San Juan Bautista;Ciudad Lineal
2013;Anual;386;229;156;15;San Juan Bautista;Ciudad Lineal
2014;Anual;420;263;156;15;San Juan Bautista;Ciudad Lineal
2015;Anual;412;277;156;15;San Juan Bautista;Ciudad Lineal
2016;Anual;402;287;156;15;San Juan Bautista;Ciudad Lineal
2017;Anual;456;292;156;15;San Juan Bautista;Ciudad Lineal
2018;Anual;314;182;156;15;San Juan Bautista;Ciudad Lineal
2019;Anual;475;312;156;15;San Juan Bautista;Ciudad Lineal
2020;Anual;479;331;156;15;San Juan Bautista;Ciudad Lineal
2021;Anual;442;320;156;15;San Juan Bautista;Ciudad Lineal
2022;Anual;419;316;156;15;San Juan Bautista;Ciudad Lineal
2010;Anual;1.227;722;52;5;Prosperidad;Chamartín
2011;Anual;1.226;715;52;5;Prosperidad;Chamartín
2012;Anual;1.092;639;52;5;Prosperidad;Chamartín
2013;Anual;1.113;641;52;5;Prosperidad;Chamartín
2014;Anual;1.191;706;52;5;Prosperidad;Chamartín
2015;Anual;1.191;746;52;5;Prosperidad;Chamartín
2016;Anual;1.158;730;52;5;Prosperidad;Chamartín
2017;Anual;1.230;791;52;5;Prosperidad;Chamartín
2018;Anual;936;592;52;5;Prosperidad;Chamartín
2019;Anual;1.329;859;52;5;Prosperidad;Chamartín
2020;Anual;1.356;886;52;5;Prosperidad;Chamartín
2021;Anual;1.370;857;52;5;Prosperidad;Chamartín
2022;Anual;1.332;838;52;5;Prosperidad;Chamartín
2010;Anual;760;414;53;5;Ciudad Jardín;Chamartín
2011;Anual;773;428;53;5;Ciudad Jardín;Chamartín
2012;Anual;682;384;53;5;Ciudad Jardín;Chamartín
2013;Anual;716;406;53;5;Ciudad Jardín;Chamartín
2014;Anual;777;450;53;5;Ciudad Jardín;Chamartín
2015;Anual;783;442;53;5;Ciudad Jardín;Chamartín
2016;Anual;781;416;53;5;Ciudad Jardín;Chamartín
2017;Anual;827;448;53;5;Ciudad Jardín;Chamartín
2018;Anual;741;377;53;5;Ciudad Jardín;Chamartín
2019;Anual;898;522;53;5;Ciudad Jardín;Chamartín
2020;Anual;906;559;53;5;Ciudad Jardín;Chamartín
2021;Anual;865;537;53;5;Ciudad Jardín;Chamartín
2022;Anual;853;544;53;5;Ciudad Jardín;Chamartín
2010;Anual;953;653;51;5;El Viso;Chamartín
2011;Anual;938;633;51;5;El Viso;Chamartín
2012;Anual;812;554;51;5;El Viso;Chamartín
2013;Anual;828;589;51;5;El Viso;Chamartín
2014;Anual;913;653;51;5;El Viso;Chamartín
2015;Anual;906;669;51;5;El Viso;Chamartín
2016;Anual;908;679;51;5;El Viso;Chamartín
2017;Anual;969;735;51;5;El Viso;Chamartín
2018;Anual;862;625;51;5;El Viso;Chamartín
2019;Anual;1.119;787;51;5;El Viso;Chamartín
2020;Anual;1.141;820;51;5;El Viso;Chamartín
2021;Anual;1.135;790;51;5;El Viso;Chamartín
2022;Anual;1.144;794;51;5;El Viso;Chamartín
2010;Anual;248;166;91;9;Casa de Campo;Moncloa - Aravaca
2011;Anual;254;164;91;9;Casa de Campo;Moncloa - Aravaca
2012;Anual;231;152;91;9;Casa de Campo;Moncloa - Aravaca
2013;Anual;235;154;91;9;Casa de Campo;Moncloa - Aravaca
2014;Anual;278;173;91;9;Casa de Campo;Moncloa - Aravaca
2015;Anual;303;195;91;9;Casa de Campo;Moncloa - Aravaca
2016;Anual;320;205;91;9;Casa de Campo;Moncloa - Aravaca
2017;Anual;341;209;91;9;Casa de Campo;Moncloa - Aravaca
2018;Anual;311;164;91;9;Casa de Campo;Moncloa - Aravaca
2019;Anual;403;245;91;9;Casa de Campo;Moncloa - Aravaca
2020;Anual;412;252;91;9;Casa de Campo;Moncloa - Aravaca
2021;Anual;405;237;91;9;Casa de Campo;Moncloa - Aravaca
2022;Anual;393;239;91;9;Casa de Campo;Moncloa - Aravaca
2010;Anual;291;116;206;20;Rejas;San Blas - Canillejas
2011;Anual;297;129;206;20;Rejas;San Blas - Canillejas
2012;Anual;251;108;206;20;Rejas;San Blas - Canillejas
2013;Anual;262;112;206;20;Rejas;San Blas - Canillejas
2014;Anual;327;150;206;20;Rejas;San Blas - Canillejas
2015;Anual;366;173;206;20;Rejas;San Blas - Canillejas
2016;Anual;373;199;206;20;Rejas;San Blas - Canillejas
2017;Anual;424;195;206;20;Rejas;San Blas - Canillejas
2018;Anual;347;180;206;20;Rejas;San Blas - Canillejas
2019;Anual;506;265;206;20;Rejas;San Blas - Canillejas
2020;Anual;572;303;206;20;Rejas;San Blas - Canillejas
2021;Anual;587;274;206;20;Rejas;San Blas - Canillejas
2022;Anual;561;281;206;20;Rejas;San Blas - Canillejas
2010;Anual;228;140;208;20;El Salvador;San Blas - Canillejas
2011;Anual;233;145;208;20;El Salvador;San Blas - Canillejas
2012;Anual;225;132;208;20;El Salvador;San Blas - Canillejas
2013;Anual;230;145;208;20;El Salvador;San Blas - Canillejas
2014;Anual;251;164;208;20;El Salvador;San Blas - Canillejas
2015;Anual;267;165;208;20;El Salvador;San Blas - Canillejas
2016;Anual;275;160;208;20;El Salvador;San Blas - Canillejas
2017;Anual;285;171;208;20;El Salvador;San Blas - Canillejas
2018;Anual;271;146;208;20;El Salvador;San Blas - Canillejas
2019;Anual;328;200;208;20;El Salvador;San Blas - Canillejas
2020;Anual;328;221;208;20;El Salvador;San Blas - Canillejas
2021;Anual;328;211;208;20;El Salvador;San Blas - Canillejas
2022;Anual;321;210;208;20;El Salvador;San Blas - Canillejas
2010;Anual;582;275;205;20;Rosas;San Blas - Canillejas
2011;Anual;608;280;205;20;Rosas;San Blas - Canillejas
2012;Anual;538;245;205;20;Rosas;San Blas - Canillejas
2013;Anual;583;276;205;20;Rosas;San Blas - Canillejas
2014;Anual;661;321;205;20;Rosas;San Blas - Canillejas
2015;Anual;723;350;205;20;Rosas;San Blas - Canillejas
2016;Anual;736;349;205;20;Rosas;San Blas - Canillejas
2017;Anual;746;382;205;20;Rosas;San Blas - Canillejas
2018;Anual;543;274;205;20;Rosas;San Blas - Canillejas
2019;Anual;786;442;205;20;Rosas;San Blas - Canillejas
2020;Anual;806;458;205;20;Rosas;San Blas - Canillejas
2021;Anual;761;420;205;20;Rosas;San Blas - Canillejas
2022;Anual;756;425;205;20;Rosas;San Blas - Canillejas
2010;Anual;744;353;207;20;Canillejas;San Blas - Canillejas
2011;Anual;738;361;207;20;Canillejas;San Blas - Canillejas
2012;Anual;661;301;207;20;Canillejas;San Blas - Canillejas
2013;Anual;680;321;207;20;Canillejas;San Blas - Canillejas
2014;Anual;751;351;207;20;Canillejas;San Blas - Canillejas
2015;Anual;784;377;207;20;Canillejas;San Blas - Canillejas
2016;Anual;760;359;207;20;Canillejas;San Blas - Canillejas
2017;Anual;810;377;207;20;Canillejas;San Blas - Canillejas
2018;Anual;591;239;207;20;Canillejas;San Blas - Canillejas
2019;Anual;857;421;207;20;Canillejas;San Blas - Canillejas
2020;Anual;903;459;207;20;Canillejas;San Blas - Canillejas
2021;Anual;852;424;207;20;Canillejas;San Blas - Canillejas
2022;Anual;825;413;207;20;Canillejas;San Blas - Canillejas
2010;Anual;448;277;155;15;San Pascual;Ciudad Lineal
2011;Anual;457;286;155;15;San Pascual;Ciudad Lineal
2012;Anual;413;263;155;15;San Pascual;Ciudad Lineal
2013;Anual;408;262;155;15;San Pascual;Ciudad Lineal
2014;Anual;434;279;155;15;San Pascual;Ciudad Lineal
2015;Anual;442;285;155;15;San Pascual;Ciudad Lineal
2016;Anual;453;284;155;15;San Pascual;Ciudad Lineal
2017;Anual;485;311;155;15;San Pascual;Ciudad Lineal
2018;Anual;388;242;155;15;San Pascual;Ciudad Lineal
2019;Anual;534;338;155;15;San Pascual;Ciudad Lineal
2020;Anual;546;333;155;15;San Pascual;Ciudad Lineal
2021;Anual;520;317;155;15;San Pascual;Ciudad Lineal
2022;Anual;521;323;155;15;San Pascual;Ciudad Lineal
2010;Anual;560;441;76;7;Vallehermoso;Chamberí
2011;Anual;567;447;76;7;Vallehermoso;Chamberí
2012;Anual;509;376;76;7;Vallehermoso;Chamberí
2013;Anual;514;392;76;7;Vallehermoso;Chamberí
2014;Anual;575;453;76;7;Vallehermoso;Chamberí
2015;Anual;575;464;76;7;Vallehermoso;Chamberí
2016;Anual;568;475;76;7;Vallehermoso;Chamberí
2017;Anual;612;512;76;7;Vallehermoso;Chamberí
2018;Anual;419;358;76;7;Vallehermoso;Chamberí
2019;Anual;683;579;76;7;Vallehermoso;Chamberí
2020;Anual;736;615;76;7;Vallehermoso;Chamberí
2021;Anual;714;606;76;7;Vallehermoso;Chamberí
2022;Anual;704;586;76;7;Vallehermoso;Chamberí
2010;Anual;1.043;643;75;7;Ríos Rosas;Chamberí
2011;Anual;1.042;647;75;7;Ríos Rosas;Chamberí
2012;Anual;924;554;75;7;Ríos Rosas;Chamberí
2013;Anual;958;593;75;7;Ríos Rosas;Chamberí
2014;Anual;1.037;674;75;7;Ríos Rosas;Chamberí
2015;Anual;1.062;711;75;7;Ríos Rosas;Chamberí
2016;Anual;1.069;711;75;7;Ríos Rosas;Chamberí
2017;Anual;1.164;770;75;7;Ríos Rosas;Chamberí
2018;Anual;936;568;75;7;Ríos Rosas;Chamberí
2019;Anual;1.308;837;75;7;Ríos Rosas;Chamberí
2020;Anual;1.339;900;75;7;Ríos Rosas;Chamberí
2021;Anual;1.293;869;75;7;Ríos Rosas;Chamberí
2022;Anual;1.273;870;75;7;Ríos Rosas;Chamberí
2010;Anual;583;345;154;15;La Concepción;Ciudad Lineal
2011;Anual;617;364;154;15;La Concepción;Ciudad Lineal
2012;Anual;560;302;154;15;La Concepción;Ciudad Lineal
2013;Anual;569;335;154;15;La Concepción;Ciudad Lineal
2014;Anual;605;370;154;15;La Concepción;Ciudad Lineal
2015;Anual;630;373;154;15;La Concepción;Ciudad Lineal
2016;Anual;641;367;154;15;La Concepción;Ciudad Lineal
2017;Anual;675;401;154;15;La Concepción;Ciudad Lineal
2018;Anual;682;394;154;15;La Concepción;Ciudad Lineal
2019;Anual;756;447;154;15;La Concepción;Ciudad Lineal
2020;Anual;784;456;154;15;La Concepción;Ciudad Lineal
2021;Anual;758;442;154;15;La Concepción;Ciudad Lineal
2022;Anual;729;436;154;15;La Concepción;Ciudad Lineal
2010;Anual;1.300;658;44;4;Guindalera;Salamanca
2011;Anual;1.287;647;44;4;Guindalera;Salamanca
2012;Anual;1.136;569;44;4;Guindalera;Salamanca
2013;Anual;1.152;583;44;4;Guindalera;Salamanca
2014;Anual;1.271;663;44;4;Guindalera;Salamanca
2015;Anual;1.328;707;44;4;Guindalera;Salamanca
2016;Anual;1.333;701;44;4;Guindalera;Salamanca
2017;Anual;1.443;792;44;4;Guindalera;Salamanca
2018;Anual;965;792;44;4;Guindalera;Salamanca
2019;Anual;1.617;945;44;4;Guindalera;Salamanca
2020;Anual;1.705;968;44;4;Guindalera;Salamanca
2021;Anual;1.636;930;44;4;Guindalera;Salamanca
2022;Anual;1.586;949;44;4;Guindalera;Salamanca
2010;Anual;955;426;201;20;Simancas;San Blas - Canillejas
2011;Anual;964;426;201;20;Simancas;San Blas - Canillejas
2012;Anual;884;382;201;20;Simancas;San Blas - Canillejas
2013;Anual;913;395;201;20;Simancas;San Blas - Canillejas
2014;Anual;996;452;201;20;Simancas;San Blas - Canillejas
2015;Anual;1.052;465;201;20;Simancas;San Blas - Canillejas
2016;Anual;1.037;462;201;20;Simancas;San Blas - Canillejas
2017;Anual;1.103;492;201;20;Simancas;San Blas - Canillejas
2018;Anual;797;372;201;20;Simancas;San Blas - Canillejas
2019;Anual;1.189;566;201;20;Simancas;San Blas - Canillejas
2020;Anual;1.221;586;201;20;Simancas;San Blas - Canillejas
2021;Anual;1.209;569;201;20;Simancas;San Blas - Canillejas
2022;Anual;1.175;554;201;20;Simancas;San Blas - Canillejas
2010;Anual;722;394;153;15;Quintana;Ciudad Lineal
2011;Anual;713;430;153;15;Quintana;Ciudad Lineal
2012;Anual;646;380;153;15;Quintana;Ciudad Lineal
2013;Anual;700;392;153;15;Quintana;Ciudad Lineal
2014;Anual;753;442;153;15;Quintana;Ciudad Lineal
2015;Anual;781;448;153;15;Quintana;Ciudad Lineal
2016;Anual;777;462;153;15;Quintana;Ciudad Lineal
2017;Anual;859;487;153;15;Quintana;Ciudad Lineal
2018;Anual;701;417;153;15;Quintana;Ciudad Lineal
2019;Anual;921;540;153;15;Quintana;Ciudad Lineal
2020;Anual;941;567;153;15;Quintana;Ciudad Lineal
2021;Anual;908;509;153;15;Quintana;Ciudad Lineal
2022;Anual;871;508;153;15;Quintana;Ciudad Lineal
2010;Anual;825;522;71;7;Gaztambide;Chamberí
2011;Anual;842;557;71;7;Gaztambide;Chamberí
2012;Anual;752;472;71;7;Gaztambide;Chamberí
2013;Anual;771;517;71;7;Gaztambide;Chamberí
2014;Anual;856;573;71;7;Gaztambide;Chamberí
2015;Anual;906;601;71;7;Gaztambide;Chamberí
2016;Anual;887;611;71;7;Gaztambide;Chamberí
2017;Anual;926;651;71;7;Gaztambide;Chamberí
2018;Anual;697;498;71;7;Gaztambide;Chamberí
2019;Anual;1.074;751;71;7;Gaztambide;Chamberí
2020;Anual;1.114;805;71;7;Gaztambide;Chamberí
2021;Anual;1.067;750;71;7;Gaztambide;Chamberí
2022;Anual;1.060;755;71;7;Gaztambide;Chamberí
2010;Anual;787;482;72;7;Arapiles;Chamberí
2011;Anual;805;494;72;7;Arapiles;Chamberí
2012;Anual;696;417;72;7;Arapiles;Chamberí
2013;Anual;723;451;72;7;Arapiles;Chamberí
2014;Anual;818;518;72;7;Arapiles;Chamberí
2015;Anual;867;545;72;7;Arapiles;Chamberí
2016;Anual;846;545;72;7;Arapiles;Chamberí
2017;Anual;937;584;72;7;Arapiles;Chamberí
2018;Anual;760;451;72;7;Arapiles;Chamberí
2019;Anual;1.057;709;72;7;Arapiles;Chamberí
2020;Anual;1.097;746;72;7;Arapiles;Chamberí
2021;Anual;1.064;720;72;7;Arapiles;Chamberí
2022;Anual;1.055;724;72;7;Arapiles;Chamberí
2010;Anual;1.145;692;73;7;Trafalgar;Chamberí
2011;Anual;1.164;718;73;7;Trafalgar;Chamberí
2012;Anual;1.024;599;73;7;Trafalgar;Chamberí
2013;Anual;1.047;622;73;7;Trafalgar;Chamberí
2014;Anual;1.169;710;73;7;Trafalgar;Chamberí
2015;Anual;1.222;744;73;7;Trafalgar;Chamberí
2016;Anual;1.151;731;73;7;Trafalgar;Chamberí
2017;Anual;1.306;831;73;7;Trafalgar;Chamberí
2018;Anual;1.012;658;73;7;Trafalgar;Chamberí
2019;Anual;1.360;933;73;7;Trafalgar;Chamberí
2020;Anual;1.398;969;73;7;Trafalgar;Chamberí
2021;Anual;1.347;897;73;7;Trafalgar;Chamberí
2022;Anual;1.324;914;73;7;Trafalgar;Chamberí
2010;Anual;1.351;957;74;7;Almagro;Chamberí
2011;Anual;1.349;972;74;7;Almagro;Chamberí
2012;Anual;1.159;786;74;7;Almagro;Chamberí
2013;Anual;1.229;819;74;7;Almagro;Chamberí
2014;Anual;1.346;960;74;7;Almagro;Chamberí
2015;Anual;1.373;983;74;7;Almagro;Chamberí
2016;Anual;1.317;919;74;7;Almagro;Chamberí
2017;Anual;1.425;993;74;7;Almagro;Chamberí
2018;Anual;1.125;724;74;7;Almagro;Chamberí
2019;Anual;1.570;1.076;74;7;Almagro;Chamberí
2020;Anual;1.569;1.089;74;7;Almagro;Chamberí
2021;Anual;1.527;1.060;74;7;Almagro;Chamberí
2022;Anual;1.521;1.062;74;7;Almagro;Chamberí
2010;Anual;1.195;747;46;4;Castellana;Salamanca
2011;Anual;1.220;754;46;4;Castellana;Salamanca
2012;Anual;1.078;644;46;4;Castellana;Salamanca
2013;Anual;1.098;652;46;4;Castellana;Salamanca
2014;Anual;1.217;750;46;4;Castellana;Salamanca
2015;Anual;1.242;778;46;4;Castellana;Salamanca
2016;Anual;1.206;739;46;4;Castellana;Salamanca
2017;Anual;1.321;829;46;4;Castellana;Salamanca
2018;Anual;1.063;829;46;4;Castellana;Salamanca
2019;Anual;1.434;866;46;4;Castellana;Salamanca
2020;Anual;1.493;921;46;4;Castellana;Salamanca
2021;Anual;1.451;896;46;4;Castellana;Salamanca
2022;Anual;1.461;892;46;4;Castellana;Salamanca
2010;Anual;1.588;702;152;15;Pueblo Nuevo;Ciudad Lineal
2011;Anual;1.587;704;152;15;Pueblo Nuevo;Ciudad Lineal
2012;Anual;1.414;606;152;15;Pueblo Nuevo;Ciudad Lineal
2013;Anual;1.416;638;152;15;Pueblo Nuevo;Ciudad Lineal
2014;Anual;1.558;727;152;15;Pueblo Nuevo;Ciudad Lineal
2015;Anual;1.602;793;152;15;Pueblo Nuevo;Ciudad Lineal
2016;Anual;1.591;822;152;15;Pueblo Nuevo;Ciudad Lineal
2017;Anual;1.681;852;152;15;Pueblo Nuevo;Ciudad Lineal
2018;Anual;1.494;749;152;15;Pueblo Nuevo;Ciudad Lineal
2019;Anual;1.841;927;152;15;Pueblo Nuevo;Ciudad Lineal
2020;Anual;1.946;983;152;15;Pueblo Nuevo;Ciudad Lineal
2021;Anual;1.886;913;152;15;Pueblo Nuevo;Ciudad Lineal
2022;Anual;1.807;901;152;15;Pueblo Nuevo;Ciudad Lineal
2010;Anual;862;559;45;4;Lista;Salamanca
2011;Anual;898;599;45;4;Lista;Salamanca
2012;Anual;781;514;45;4;Lista;Salamanca
2013;Anual;809;528;45;4;Lista;Salamanca
2014;Anual;894;587;45;4;Lista;Salamanca
2015;Anual;895;597;45;4;Lista;Salamanca
2016;Anual;874;601;45;4;Lista;Salamanca
2017;Anual;953;649;45;4;Lista;Salamanca
2018;Anual;790;649;45;4;Lista;Salamanca
2019;Anual;1.047;769;45;4;Lista;Salamanca
2020;Anual;1.100;789;45;4;Lista;Salamanca
2021;Anual;1.050;736;45;4;Lista;Salamanca
2022;Anual;1.052;756;45;4;Lista;Salamanca
2010;Anual;1.001;606;92;9;Argüelles;Moncloa - Aravaca
2011;Anual;1.035;655;92;9;Argüelles;Moncloa - Aravaca
2012;Anual;918;534;92;9;Argüelles;Moncloa - Aravaca
2013;Anual;951;576;92;9;Argüelles;Moncloa - Aravaca
2014;Anual;1.048;661;92;9;Argüelles;Moncloa - Aravaca
2015;Anual;1.076;716;92;9;Argüelles;Moncloa - Aravaca
2016;Anual;1.057;730;92;9;Argüelles;Moncloa - Aravaca
2017;Anual;1.154;794;92;9;Argüelles;Moncloa - Aravaca
2018;Anual;927;603;92;9;Argüelles;Moncloa - Aravaca
2019;Anual;1.241;854;92;9;Argüelles;Moncloa - Aravaca
2020;Anual;1.282;914;92;9;Argüelles;Moncloa - Aravaca
2021;Anual;1.226;886;92;9;Argüelles;Moncloa - Aravaca
2022;Anual;1.216;865;92;9;Argüelles;Moncloa - Aravaca
2010;Anual;110;42;202;20;Hellín;San Blas - Canillejas
2011;Anual;100;40;202;20;Hellín;San Blas - Canillejas
2012;Anual;87;34;202;20;Hellín;San Blas - Canillejas
2013;Anual;86;39;202;20;Hellín;San Blas - Canillejas
2014;Anual;103;42;202;20;Hellín;San Blas - Canillejas
2015;Anual;107;43;202;20;Hellín;San Blas - Canillejas
2016;Anual;105;46;202;20;Hellín;San Blas - Canillejas
2017;Anual;111;46;202;20;Hellín;San Blas - Canillejas
2018;Anual;81;35;202;20;Hellín;San Blas - Canillejas
2019;Anual;126;58;202;20;Hellín;San Blas - Canillejas
2020;Anual;143;60;202;20;Hellín;San Blas - Canillejas
2021;Anual;147;58;202;20;Hellín;San Blas - Canillejas
2022;Anual;144;57;202;20;Hellín;San Blas - Canillejas
